Material Code,Real,Imaginary
0,3.538510045855191,-2.080892508980862
1,3.609280246772294,-2.1225103591604806
2,3.680050447689398,-2.1641282093400953
3,3.7508206486065006,-2.205746059519715
4,3.821590849523606,-2.2473639096993323
5,3.8923610504407096,-2.2889817598789497
6,3.9631312513578147,-2.3305996100585653
7,4.0339014522749155,-2.3722174602381836
8,4.104671653192019,-2.4138353104178014
9,4.175441854109127,-2.4554531605974192
10,4.246212055026228,-2.4970710107770353
11,4.3169822559433335,-2.5386888609566522
12,4.387752456860437,-2.5803067111362687
13,4.4585226577775385,-2.621924561315888
14,4.5292928586946415,-2.663542411495504
15,4.600063059611749,-2.7051602616751214
16,4.6708332605288545,-2.746778111854738
17,4.741603461445954,-2.7883959620343575
18,4.812373662363058,-2.830013812213973
19,4.8831438632801625,-2.87163166239359
20,4.953914064197266,-2.913249512573206
21,5.024684265114371,-2.9548673627528266
22,5.0954544660314784,-2.996485212932444
23,5.16622466694858,-3.0381030631120587
24,5.23699486786568,-3.0797209132916756
25,5.307765068782787,-3.1213387634712926
26,5.378535269699892,-3.1629566136509126
27,5.4493054706169906,-3.2045744638305282
28,5.520075671534095,-3.2461923140101456
29,5.590845872451199,-3.287810164189763
30,5.661616073368307,-3.3294280143693817
31,5.732386274285408,-3.371045864548998
32,5.803156475202515,-3.4126637147286147
33,5.873926676119618,-3.454281564908232
34,5.944696877036715,-3.4958994150878513
35,6.015467077953823,-3.537517265267469
36,6.086237278870926,-3.5791351154470834
37,6.157007479788031,-3.620752965626701
38,6.227777680705137,-3.6623708158063186
39,6.298547881622238,-3.703988665985936
40,6.369318082539345,-3.7456065161655525
41,6.440088283456447,-3.7872243663451703
42,6.51085848437355,-3.828842216524787
43,6.581628685290651,-3.870460066704405
44,6.652398886207758,-3.912077916884022
45,6.723169087124862,-3.9536957670636395
46,6.7939392880419645,-3.9953136172432564
47,6.864709488959068,-4.036931467422869
48,6.935479689876173,-4.078549317602489
49,7.006249890793277,-4.12016716778211
50,7.077020091710382,-4.161785017961725
51,7.147790292627483,-4.203402868141345
52,7.218560493544589,-4.24502071832096
53,7.289330694461692,-4.286638568500575
54,7.360100895378796,-4.3282564186801915
55,7.430871096295903,-4.369874268859812
56,7.501641297213001,-4.41149211903943
57,7.572411498130108,-4.453109969219049
58,7.643181699047212,-4.494727819398665
59,7.713951899964316,-4.53634566957828
60,7.784722100881419,-4.577963519757899
61,7.855492301798522,-4.619581369937515
62,7.926262502715629,-4.661199220117131
63,7.9970327036327316,-4.702817070296746
64,8.067802904549833,-4.744434920476367
65,8.138573105466943,-4.786052770655983
66,8.209343306384039,-4.827670620835603
67,8.280113507301147,-4.869288471015218
68,8.350883708218255,-4.910906321194839
69,8.421653909135351,-4.952524171374455
70,8.492424110052458,-4.9941420215540715
71,8.563194310969564,-5.0357598717336876
72,8.633964511886667,-5.0773777219133045
73,8.704734712803765,-5.118995572092921
74,8.775504913720875,-5.1606134222725375
75,8.846275114637976,-5.202231272452156
76,8.917045315555077,-5.243849122631777
77,8.987815516472189,-5.28546697281139
78,9.058585717389283,-5.327084822991008
79,9.129355918306397,-5.368702673170624
80,9.200126119223498,-5.410320523350243
81,9.270896320140599,-5.451938373529862
82,9.341666521057709,-5.493556223709476
83,9.412436721974801,-5.535174073889094
84,9.483206922891908,-5.576791924068713
85,9.553977123809018,-5.618409774248329
86,9.624747324726115,-5.660027624427946
87,9.695517525643226,-5.701645474607566
88,9.766287726560325,-5.74326332478718
89,9.837057927477426,-5.784881174966797
90,9.907828128394533,-5.826499025146412
91,9.978598329311641,-5.868116875326031
92,10.049368530228742,-5.909734725505654
93,10.120138731145852,-5.951352575685269
94,10.190908932062955,-5.992970425864885
95,10.261679132980051,-6.034588276044503
96,10.33244933389716,-6.076206126224117
97,10.40321953481426,-6.117823976403736
98,10.47398973573136,-6.159441826583351
99,10.544759936648465,-6.201059676762971
100,10.615530137565575,-6.242677526942585
