Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(8.586516857142854-5.531917457142856j),(8.63516-5.45462j),(8.96578-6.0146j),(9.31836-6.82102j),(9.58798-7.23338j),(9.8393-7.77628j),(10.18212-8.372860000000001j),(10.40172-8.67786j),(10.522499999999999-8.712019999999999j),(10.582279999999999-8.620519999999999j),(10.68964-8.593679999999999j),(10.64572-8.39482j)
8.05,(8.572392742857145-5.512368409523807j),(8.643699999999999-5.4351j),(8.95968-5.99874j),(9.3574-6.83322j),(9.6075-7.1931199999999995j),(9.8881-7.76042j),(10.196760000000001-8.35944j),(10.40294-8.69372j),(10.535919999999999-8.743739999999999j),(10.61888-8.659559999999999j),(10.72868-8.637599999999999j),(10.674999999999999-8.45094j)
8.1,(8.558268628571433-5.4928193619047585j),(8.587579999999999-5.4229j),(8.91088-5.98044j),(9.307379999999998-6.81614j),(9.5465-7.1967799999999995j),(9.81002-7.743340000000001j),(10.1443-8.32162j),(10.340720000000001-8.63516j),(10.473700000000001-8.712019999999999j),(10.553-8.60222j),(10.6811-8.57782j),(10.63962-8.3997j)
8.15,(8.54414451428571-5.473270314285711j),(8.585139999999999-5.421679999999999j),(8.905999999999999-5.96092j),(9.28298-6.78198j),(9.54162-7.1674999999999995j),(9.80026-7.71284j),(10.1199-8.2716j),(10.32364-8.579039999999999j),(10.478580000000001-8.64492j),(10.53348-8.55342j),(10.660359999999999-8.52658j),(10.63474-8.3387j)
8.2,(8.5300204-5.4534732j),(8.57416-5.38386j),(8.89014-5.923100000000001j),(9.272-6.75026j),(9.51722-7.1138200000000005j),(9.75512-7.6799j),(10.07232-8.27038j),(10.28826-8.598559999999999j),(10.423680000000001-8.627839999999999j),(10.495659999999999-8.560740000000001j),(10.609119999999999-8.54244j),(10.57984-8.34236j)
8.25,(8.515896285714286-5.434747942857143j),(8.5522-5.3594599999999994j),(8.86818-5.8926j),(9.252479999999998-6.72098j),(9.4916-7.09918j),(9.76244-7.66648j),(10.0772-8.24354j),(10.290700000000001-8.56806j),(10.40904-8.637599999999999j),(10.482240000000001-8.56318j),(10.600579999999999-8.541220000000001j),(10.55666-8.357j)
8.3,(8.505347933333333-5.4142159238095235j),(8.52902-5.34116j),(8.853539999999999-5.89138j),(9.2476-6.69658j),(9.48794-7.0808800000000005j),(9.75512-7.623779999999999j),(10.0772-8.21548j),(10.282160000000001-8.51926j),(10.43344-8.585139999999999j),(10.500539999999999-8.50706j),(10.632299999999999-8.48388j),(10.60302-8.296j)
8.35,(8.493570285714284-5.395153714285715j),(8.541220000000001-5.3362799999999995j),(8.853539999999999-5.877959999999999j),(9.23052-6.68804j),(9.46964-7.06624j),(9.72462-7.58718j),(10.044260000000001-8.16546j),(10.235800000000001-8.505840000000001j),(10.3944-8.570500000000001j),(10.46516-8.46436j),(10.593259999999999-8.44606j),(10.574959999999999-8.27648j)
8.4,(8.4829894-5.376386628571429j),(8.5339-5.2826j),(8.837679999999999-5.82062j),(9.20734-6.63924j),(9.45622-7.02354j),(9.70266-7.57376j),(10.03084-8.1252j),(10.22726-8.46924j),(10.372440000000001-8.56318j),(10.44198-8.463140000000001j),(10.55666-8.457040000000001j),(10.527379999999999-8.28746j)
8.45,(8.471629457142857-5.355963828571428j),(8.50706-5.2874799999999995j),(8.814499999999999-5.829159999999999j),(9.19148-6.62704j),(9.42206-6.99914j),(9.69046-7.55424j),(10.012540000000001-8.13374j),(10.216280000000001-8.44972j),(10.33584-8.52292j),(10.40904-8.427760000000001j),(10.526159999999999-8.408240000000001j),(10.482240000000001-8.24598j)
8.5,(8.4617492-5.334748028571427j),(8.4912-5.2691799999999995j),(8.794979999999999-5.80598j),(9.17684-6.61728j),(9.40254-6.98816j),(9.67826-7.520079999999999j),(9.98692-8.09226j),(10.17968-8.41312j),(10.32242-8.482660000000001j),(10.39318-8.3875j),(10.52128-8.37774j),(10.500539999999999-8.20816j)
8.55,(8.448162466666666-5.311213066666666j),(8.4912-5.2411200000000004j),(8.79376-5.75962j),(9.168299999999999-6.562379999999999j),(9.40742-6.94424j),(9.6563-7.46762j),(9.97594-8.04346j),(10.16626-8.35822j),(10.32242-8.43874j),(10.39074-8.35944j),(10.526159999999999-8.3509j),(10.50908-8.1801j)
8.6,(8.437133085714285-5.28710819047619j),(8.492420000000001-5.21306j),(8.79132-5.73888j),(9.15366-6.54164j),(9.40132-6.92106j),(9.64654-7.45786j),(9.953980000000001-8.04712j),(10.1565-8.37652j),(10.294360000000001-8.45582j),(10.365120000000001-8.3814j),(10.478580000000001-8.38384j),(10.45174-8.21792j)
8.65,(8.423092628571428-5.266051571428573j),(8.46192-5.20086j),(8.765699999999999-5.729119999999999j),(9.14146-6.54408j),(9.36594-6.90764j),(9.63678-7.4542j),(9.95032-8.03858j),(10.161380000000001-8.363100000000001j),(10.274840000000001-8.42288j),(10.35902-8.35944j),(10.470040000000001-8.33748j),(10.43832-8.16058j)
8.7,(8.410473180952382-5.246540866666666j),(8.43874-5.2020800000000005j),(8.7352-5.72424j),(9.11706-6.52822j),(9.336659999999998-6.90886j),(9.61116-7.429799999999999j),(9.91006-7.9897800000000005j),(10.118680000000001-8.31308j),(10.2541-8.388720000000001j),(10.33462-8.2777j),(10.462720000000001-8.27892j),(10.446860000000001-8.11544j)
8.75,(8.402568161904762-5.2313390857142865j),(8.443620000000001-5.16548j),(8.736419999999999-5.6913j),(9.11218-6.491619999999999j),(9.33178-6.87104j),(9.58676-7.384659999999999j),(9.8942-7.94586j),(10.0894-8.2594j),(10.23458-8.35456j),(10.306560000000001-8.25818j),(10.44076-8.26306j),(10.42978-8.09714j)
8.8,(8.393073657142857-5.209551628571429j),(8.42166-5.14962j),(8.716899999999999-5.66812j),(9.0768-6.452579999999999j),(9.31104-6.82712j),(9.5587-7.351719999999999j),(9.85882-7.92024j),(10.0528-8.25208j),(10.200420000000001-8.33748j),(10.26996-8.28014j),(10.40538-8.2655j),(10.39318-8.1069j)
8.85,(8.380426904761904-5.193340152380954j),(8.40458-5.11424j),(8.694939999999999-5.6364j),(9.06216-6.433059999999999j),(9.28786-6.79418j),(9.54894-7.32732j),(9.84906-7.905600000000001j),(10.06134-8.2533j),(10.180900000000001-8.32894j),(10.25288-8.25696j),(10.384640000000001-8.2594j),(10.372440000000001-8.11422j)
8.9,(8.37058266666667-5.176569799999999j),(8.4119-5.098380000000001j),(8.707139999999999-5.62664j),(9.07192-6.433059999999999j),(9.28908-6.77588j),(9.55992-7.32976j),(9.86126-7.911700000000001j),(10.03938-8.25696j),(10.16748-8.33748j),(10.25288-8.26672j),(10.372440000000001-8.27526j),(10.3639-8.12886j)
8.95,(8.360738428571429-5.159441j),(8.39116-5.10082j),(8.672979999999999-5.615659999999999j),(9.03288-6.405j),(9.252479999999998-6.76246j),(9.50868-7.28218j),(9.81368-7.856800000000001j),(10.01132-8.18376j),(10.1565-8.26428j),(10.251660000000001-8.18254j),(10.37732-8.19352j),(10.37366-8.04102j)
9.0,(8.34566678095238-5.141699295238096j),(8.388720000000001-5.07398j),(8.67664-5.586379999999999j),(9.03776-6.37084j),(9.2598-6.7405j),(9.50746-7.25656j),(9.8027-7.82508j),(10.00278-8.16058j),(10.13942-8.24964j),(10.2114-8.17644j),(10.32364-8.1984j),(10.306560000000001-8.0398j)
9.05,(8.334589761904763-5.121410114285714j),(8.35822-5.0569j),(8.65102-5.56564j),(9.01702-6.3501j),(9.23174-6.70634j),(9.48306-7.23704j),(9.76732-7.81654j),(9.97472-8.1435j),(10.106480000000001-8.21304j),(10.18212-8.15692j),(10.30412-8.14838j),(10.28948-7.98124j)
9.1,(8.3212174-5.105867314285715j),(8.3509-5.03616j),(8.633939999999999-5.54246j),(8.99384-6.336679999999999j),(9.21466-6.69414j),(9.46842-7.2223999999999995j),(9.75024-7.7836j),(9.94666-8.1191j),(10.06866-8.18498j),(10.14308-8.12154j),(10.2724-8.11788j),(10.258980000000001-7.96538j)
9.15,(8.31356102857143-5.0890138857142855j),(8.35456-5.01908j),(8.636379999999999-5.524159999999999j),(8.996279999999999-6.30862j),(9.21222-6.669739999999999j),(9.45866-7.18458j),(9.75268-7.7409j),(9.94056-8.06664j),(10.07476-8.1618j),(10.15406-8.08738j),(10.27606-8.09958j),(10.27362-7.95684j)
9.2,(8.297956647619047-5.069162742857142j),(8.34724-5.004440000000001j),(8.624179999999999-5.50708j),(8.97554-6.27934j),(9.1927-6.640459999999999j),(9.44768-7.16506j),(9.73682-7.71284j),(9.91982-8.04712j),(10.05402-8.1313j),(10.1443-8.08006j),(10.262640000000001-8.08372j),(10.251660000000001-7.93976j)
9.25,(8.2848858-5.0501168j),(8.33138-4.98736j),(8.616859999999999-5.49j),(8.976759999999999-6.26592j),(9.193919999999999-6.63314j),(9.44158-7.14432j),(9.71974-7.7104j),(9.914940000000001-8.06298j),(10.03328-8.14106j),(10.118680000000001-8.0764j),(10.235800000000001-8.09836j),(10.22116-7.9422j)
9.3,(8.278050314285714-5.035633076190477j),(8.31674-4.959300000000001j),(8.603439999999999-5.46438j),(8.95968-6.2427399999999995j),(9.164639999999999-6.601419999999999j),(9.42084-7.1248j),(9.71486-7.67502j),(9.9064-8.02272j),(10.028400000000001-8.09836j),(10.110140000000001-8.04346j),(10.21506-8.05078j),(10.22116-7.90438j)
9.35,(8.267184761904762-5.017018200000001j),(8.29234-4.96784j),(8.56196-5.46194j),(8.925519999999999-6.23786j),(9.13048-6.589219999999999j),(9.3879-7.10284j),(9.66118-7.653059999999999j),(9.84174-7.980020000000001j),(9.98204-8.06908j),(10.06988-7.9971j),(10.19798-8.0032j),(10.193100000000001-7.85802j)
9.4,(8.254467714285715-4.997332628571431j),(8.29966-4.93246j),(8.58026-5.433879999999999j),(8.937719999999999-6.2024799999999995j),(9.13536-6.546519999999999j),(9.37936-7.05892j),(9.66484-7.61524j),(9.85882-7.9361j),(9.9857-8.03248j),(10.071100000000001-7.9727j),(10.204080000000001-7.98856j),(10.20286-7.84216j)
