Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(4.152495857142856-2.6752715571428562j),(4.17602-2.63789j),(4.33591-2.9086999999999996j),(4.506419999999999-3.29869j),(4.63681-3.49811j),(4.758349999999999-3.7606599999999997j),(4.9241399999999995-4.04917j),(5.03034-4.19667j),(5.08875-4.21319j),(5.117659999999999-4.16894j),(5.16958-4.155959999999999j),(5.14834-4.05979j)
8.05,(4.145665342857144-2.665817509523808j),(4.180149999999999-2.62845j),(4.33296-2.9010299999999996j),(4.5253-3.3045899999999997j),(4.646249999999999-3.47864j),(4.78195-3.7529899999999996j),(4.93122-4.04268j),(5.03093-4.20434j),(5.0952399999999995-4.228529999999999j),(5.13536-4.187819999999999j),(5.18846-4.1772j),(5.1625-4.08693j)
8.1,(4.138834828571431-2.65636346190476j),(4.153009999999999-2.62255j),(4.30936-2.8921799999999998j),(4.50111-3.2963299999999998j),(4.61675-3.48041j),(4.74419-3.74473j),(4.905849999999999-4.0243899999999995j),(5.00084-4.17602j),(5.06515-4.21319j),(5.1035-4.16009j),(5.16545-4.148289999999999j),(5.14539-4.06215j)
8.15,(4.132004314285712-2.646909414285713j),(4.1518299999999995-2.6219599999999996j),(4.3069999999999995-2.88274j),(4.48931-3.27981j),(4.614389999999999-3.4662499999999996j),(4.73947-3.72998j),(4.89405-4.0001999999999995j),(4.992579999999999-4.14888j),(5.06751-4.18074j),(5.09406-4.13649j),(5.1554199999999994-4.12351j),(5.14303-4.032649999999999j)
8.2,(4.1251738-2.6373354j),(4.14652-2.60367j),(4.299329999999999-2.86445j),(4.484-3.26447j),(4.60259-3.44029j),(4.71764-3.71405j),(4.87104-3.9996099999999997j),(4.97547-4.15832j),(5.04096-4.17248j),(5.0757699999999994-4.14003j),(5.13064-4.13118j),(5.11648-4.03442j)
8.25,(4.118343285714285-2.628279742857143j),(4.1358999999999995-2.5918699999999997j),(4.28871-2.8497j),(4.474559999999999-3.25031j),(4.5902-3.43321j),(4.72118-3.7075599999999995j),(4.873399999999999-3.9866299999999995j),(4.97665-4.1435699999999995j),(5.03388-4.1772j),(5.06928-4.14121j),(5.12651-4.13059j),(5.10527-4.041499999999999j)
8.3,(4.113242033333333-2.6183503238095236j),(4.124689999999999-2.58302j),(4.28163-2.8491099999999996j),(4.4722-3.2385099999999998j),(4.58843-3.42436j),(4.71764-3.6869099999999997j),(4.873399999999999-3.97306j),(4.97252-4.1199699999999995j),(5.04568-4.1518299999999995j),(5.078129999999999-4.11407j),(5.14185-4.10286j),(5.12769-4.012j)
8.35,(4.107546285714285-2.609131714285714j),(4.13059-2.5806599999999995j),(4.28163-2.8426199999999997j),(4.46394-3.23438j),(4.579579999999999-3.41728j),(4.70289-3.66921j),(4.85747-3.9488699999999994j),(4.9501-4.11348j),(5.0268-4.14475j),(5.061019999999999-4.09342j),(5.12297-4.084569999999999j),(5.114119999999999-4.00256j)
8.4,(4.1024293-2.6000558285714286j),(4.12705-2.5547j),(4.27396-2.8148899999999997j),(4.45273-3.2107799999999997j),(4.57309-3.3966299999999996j),(4.69227-3.6627199999999998j),(4.85098-3.9294j),(4.945969999999999-4.0957799999999995j),(5.01618-4.14121j),(5.049809999999999-4.09283j),(5.10527-4.08988j),(5.09111-4.00787j)
8.45,(4.0969355571428565-2.5901792285714285j),(4.11407-2.5570599999999994j),(4.26275-2.8190199999999996j),(4.44506-3.20488j),(4.55657-3.38483j),(4.686369999999999-3.65328j),(4.84213-3.9335299999999997j),(4.94066-4.08634j),(4.99848-4.12174j),(5.03388-4.07572j),(5.09052-4.06628j),(5.06928-3.98781j)
