Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(5.137833857142856-3.3100817571428562j),(5.16694-3.26383j),(5.36477-3.5988999999999995j),(5.57574-4.08143j),(5.73707-4.32817j),(5.887449999999999-4.65302j),(6.09258-5.00999j),(6.22398-5.19249j),(6.29625-5.21293j),(6.332019999999999-5.15818j),(6.39626-5.142119999999999j),(6.369980000000001-5.02313j)
8.05,(5.129382542857144-3.2983843761904748j),(5.17205-3.25215j),(5.36112-3.58941j),(5.5991-4.08873j),(5.74875-4.30408j),(5.91665-4.64353j),(6.10134-5.00196j),(6.224709999999999-5.20198j),(6.304279999999999-5.23191j),(6.3539200000000005-5.18154j),(6.41962-5.1684j),(6.3875-5.05671j)
8.1,(5.120931228571432-3.2866869952380933j),(5.13847-3.24485j),(5.33192-3.57846j),(5.56917-4.07851j),(5.71225-4.30627j),(5.86993-4.63331j),(6.0699499999999995-4.97933j),(6.187480000000001-5.16694j),(6.26705-5.21293j),(6.3145-5.14723j),(6.3911500000000006-5.13263j),(6.36633-5.02605j)
8.15,(5.1124799142857125-3.2749896142857122j),(5.13701-3.2441199999999997j),(5.329-3.56678j),(5.55457-4.05807j),(5.70933-4.28875j),(5.864089999999999-4.61506j),(6.05535-4.9494j),(6.1772599999999995-5.13336j),(6.26997-5.17278j),(6.3028200000000005-5.11803j),(6.37874-5.10197j),(6.36341-4.9895499999999995j)
8.2,(5.1040285999999995-3.2631438j),(5.130439999999999-3.22149j),(5.31951-3.54415j),(5.548-4.03909j),(5.69473-4.25663j),(5.83708-4.59535j),(6.02688-4.94867j),(6.15609-5.14504j),(6.23712-5.16256j),(6.280189999999999-5.12241j),(6.3480799999999995-5.11146j),(6.33056-4.99174j)
8.25,(5.095577285714286-3.251939342857143j),(5.117299999999999-3.2068899999999996j),(5.30637-3.5259j),(5.53632-4.0215700000000005j),(5.6794-4.24787j),(5.8414600000000005-4.58732j),(6.0298-4.9326099999999995j),(6.1575500000000005-5.12679j),(6.2283599999999995-5.1684j),(6.27216-5.12387j),(6.34297-5.11073j),(6.31669-5.0005j)
8.3,(5.089265566666667-3.2396537904761904j),(5.1034299999999995-3.1959400000000002j),(5.29761-3.5251699999999997j),(5.5334-4.00697j),(5.67721-4.2369200000000005j),(5.83708-4.561769999999999j),(6.0298-4.91582j),(6.15244-5.097589999999999j),(6.242959999999999-5.13701j),(6.28311-5.0902899999999995j),(6.361949999999999-5.07642j),(6.34443-4.9639999999999995j)
8.35,(5.082218285714285-3.228247714285714j),(5.11073-3.1930199999999997j),(5.29761-3.5171399999999995j),(5.52318-4.00186j),(5.666259999999999-4.22816j),(5.81883-4.5398700000000005j),(6.01009-4.88589j),(6.124700000000001-5.0895600000000005j),(6.2196-5.12825j),(6.261939999999999-5.06474j),(6.33859-5.05379j),(6.32764-4.952319999999999j)
8.4,(5.0758871-3.217018228571429j),(5.10635-3.1609j),(5.288119999999999-3.48283j),(5.509309999999999-3.97266j),(5.6582300000000005-4.20261j),(5.80569-4.53184j),(6.002059999999999-4.8618j),(6.11959-5.06766j),(6.206460000000001-5.12387j),(6.248069999999999-5.06401j),(6.31669-5.06036j),(6.299169999999999-4.95889j)
8.45,(5.069089757142857-3.2047980285714286j),(5.0902899999999995-3.16382j),(5.274249999999999-3.4879399999999996j),(5.49982-3.96536j),(5.63779-4.18801j),(5.7983899999999995-4.52016j),(5.991110000000001-4.86691j),(6.113020000000001-5.05598j),(6.184559999999999-5.09978j),(6.2283599999999995-5.04284j),(6.29844-5.03116j),(6.27216-4.93407j)
8.5,(5.0631778-3.192103328571428j),(5.0808-3.15287j),(5.262569999999999-3.47407j),(5.49106-3.9595200000000004j),(5.62611-4.181439999999999j),(5.79109-4.49972j),(5.975779999999999-4.84209j),(6.091119999999999-5.034079999999999j),(6.17653-5.07569j),(6.21887-5.01875j),(6.295520000000001-5.01291j),(6.28311-4.91144j)
8.55,(5.055048033333334-3.1780209333333334j),(5.0808-3.13608j),(5.26184-3.44633j),(5.48595-3.9266699999999997j),(5.62903-4.15516j),(5.77795-4.46833j),(5.9692099999999995-4.8128899999999994j),(6.08309-5.00123j),(6.17653-5.04941j),(6.217409999999999-5.00196j),(6.29844-4.996849999999999j),(6.288220000000001-4.8946499999999995j)
8.6,(5.048448485714285-3.163597523809524j),(5.08153-3.11929j),(5.2603800000000005-3.4339199999999996j),(5.47719-3.91426j),(5.62538-4.14129j),(5.77211-4.46249j),(5.95607-4.81508j),(6.077249999999999-5.01218j),(6.15974-5.05963j),(6.2020800000000005-5.0151j),(6.26997-5.01656j),(6.25391-4.91728j)
8.65,(5.040047228571428-3.150998071428572j),(5.06328-3.11199j),(5.24505-3.4280799999999996j),(5.46989-3.91572j),(5.604209999999999-4.13326j),(5.76627-4.4603j),(5.95388-4.80997j),(6.080170000000001-5.00415j),(6.14806-5.0399199999999995j),(6.198429999999999-5.00196j),(6.2648600000000005-4.98882j),(6.24588-4.88297j)
8.7,(5.032496247619048-3.139323633333333j),(5.04941-3.11272j),(5.2268-3.42516j),(5.45529-3.90623j),(5.58669-4.13399j),(5.75094-4.4456999999999995j),(5.92979-4.78077j),(6.05462-4.97422j),(6.135649999999999-5.01948j),(6.1838299999999995-4.95305j),(6.26048-4.953779999999999j),(6.250990000000001-4.85596j)
8.75,(5.027766195238095-3.1302274857142858j),(5.05233-3.09082j),(5.22753-3.40545j),(5.45237-3.88433j),(5.5837699999999995-4.1113599999999995j),(5.736339999999999-4.41869j),(5.920299999999999-4.75449j),(6.0371-4.9421j),(6.123969999999999-4.99904j),(6.16704-4.94137j),(6.2473399999999994-4.94429j),(6.2407699999999995-4.845009999999999j)
8.8,(5.022085057142856-3.117190728571429j),(5.03919-3.08133j),(5.21585-3.39158j),(5.4312000000000005-3.8609699999999996j),(5.571359999999999-4.08508j),(5.71955-4.39898j),(5.8991299999999995-4.73916j),(6.0152-4.93772j),(6.10353-4.98882j),(6.14514-4.95451j),(6.22617-4.94575j),(6.21887-4.850849999999999j)
8.85,(5.014517738095238-3.10749041904762j),(5.02897-3.06016j),(5.20271-3.3726j),(5.42244-3.84929j),(5.5574900000000005-4.06537j),(5.71371-4.38438j),(5.89329-4.7304j),(6.020309999999999-4.93845j),(6.09185-4.983709999999999j),(6.13492-4.94064j),(6.213760000000001-4.9421j),(6.206460000000001-4.85523j)
8.9,(5.008627333333334-3.0974557j),(5.0333499999999995-3.05067j),(5.21001-3.36676j),(5.42828-3.84929j),(5.5582199999999995-4.05442j),(5.72028-4.38584j),(5.90059-4.73405j),(6.0071699999999995-4.94064j),(6.083819999999999-4.98882j),(6.13492-4.946479999999999j),(6.206460000000001-4.95159j),(6.20135-4.86399j)
8.95,(5.002736928571428-3.0872064999999997j),(5.02094-3.05213j),(5.18957-3.36019j),(5.40492-3.8325j),(5.53632-4.04639j),(5.68962-4.35737j),(5.87212-4.7012j),(5.990379999999999-4.89684j),(6.077249999999999-4.9450199999999995j),(6.13419-4.89611j),(6.20938-4.90268j),(6.20719-4.81143j)
9.0,(4.993718647619048-3.076590561904762j),(5.01948-3.0360699999999996j),(5.19176-3.3426699999999996j),(5.40784-3.8120600000000002j),(5.5407-4.03325j),(5.68889-4.34204j),(5.86555-4.68222j),(5.98527-4.88297j),(6.06703-4.93626j),(6.110099999999999-4.89246j),(6.1772599999999995-4.9056j),(6.16704-4.8107j)
9.05,(4.9870905952380955-3.0644503142857142j),(5.00123-3.0258499999999997j),(5.17643-3.33026j),(5.39543-3.7996499999999997j),(5.52391-4.01281j),(5.67429-4.33036j),(5.84438-4.67711j),(5.96848-4.87275j),(6.04732-4.91436j),(6.09258-4.88078j),(6.165579999999999-4.87567j),(6.15682-4.775659999999999j)
9.1,(4.9790890999999995-3.0551501142857145j),(4.996849999999999-3.01344j),(5.1662099999999995-3.31639j),(5.3815599999999995-3.79162j),(5.5136899999999995-4.00551j),(5.6655299999999995-4.3216j),(5.83416-4.6574j),(5.95169-4.85815j),(6.02469-4.89757j),(6.06922-4.85961j),(6.146599999999999-4.857419999999999j),(6.1385700000000005-4.76617j)
9.15,(4.974507828571428-3.0450656857142855j),(4.99904-3.00322j),(5.167669999999999-3.3054399999999995j),(5.383019999999999-3.77483j),(5.51223-3.9909099999999995j),(5.65969-4.29897j),(5.83562-4.63185j),(5.94804-4.82676j),(6.028339999999999-4.8837j),(6.0757900000000005-4.839169999999999j),(6.14879-4.84647j),(6.147329999999999-4.76106j)
9.2,(4.965170780952381-3.0331875428571426j),(4.99466-2.99446j),(5.1603699999999995-3.29522j),(5.37061-3.75731j),(5.50055-3.9733899999999998j),(5.6531199999999995-4.2872900000000005j),(5.82613-4.61506j),(5.93563-4.81508j),(6.01593-4.86545j),(6.0699499999999995-4.83479j),(6.14076-4.8369800000000005j),(6.13419-4.75084j)
9.25,(4.9573497-3.0217911999999996j),(4.98517-2.98424j),(5.15599-3.285j),(5.37134-3.74928j),(5.5012799999999995-3.96901j),(5.64947-4.27488j),(5.81591-4.6136j),(5.93271-4.82457j),(6.00352-4.87129j),(6.05462-4.8326j),(6.124700000000001-4.84574j),(6.11594-4.7523j)
9.3,(4.953259614285715-3.01312470952381j),(4.9764100000000004-2.9674500000000004j),(5.147959999999999-3.26967j),(5.36112-3.73541j),(5.483759999999999-3.9500299999999995j),(5.63706-4.263199999999999j),(5.81299-4.59243j),(5.927599999999999-4.800479999999999j),(6.0006-4.84574j),(6.049510000000001-4.8128899999999994j),(6.11229-4.81727j),(6.11594-4.72967j)
9.35,(4.946758095238095-3.0019863000000004j),(4.96181-2.97256j),(5.123139999999999-3.2682100000000003j),(5.34068-3.7324900000000003j),(5.4633199999999995-3.9427299999999996j),(5.61735-4.2500599999999995j),(5.780869999999999-4.579289999999999j),(5.88891-4.77493j),(5.97286-4.82822j),(6.0254199999999996-4.78515j),(6.102069999999999-4.788799999999999j),(6.09915-4.70193j)
9.4,(4.9391487142857144-2.9902072285714296j),(4.96619-2.95139j),(5.1340900000000005-3.2514199999999995j),(5.34798-3.7113199999999997j),(5.46624-3.9171799999999997j),(5.61224-4.22378j),(5.78306-4.55666j),(5.8991299999999995-4.74865j),(5.97505-4.8063199999999995j),(6.02615-4.77055j),(6.105720000000001-4.78004j),(6.10499-4.6924399999999995j)
