Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(5.771265428571428-3.7181740285714278j),(5.803960000000001-3.6662200000000005j),(6.026180000000001-4.0426j),(6.26316-4.58462j),(6.444380000000001-4.86178j),(6.6133-5.22668j),(6.84372-5.6276600000000006j),(6.99132-5.832660000000001j),(7.072500000000001-5.85562j),(7.11268-5.79412j),(7.184840000000001-5.77608j),(7.1553200000000015-5.64242j)
8.05,(5.761772171428573-3.7050345047619033j),(5.8097-3.6531000000000002j),(6.022080000000001-4.0319400000000005j),(6.2894000000000005-4.592820000000001j),(6.4575000000000005-4.83472j),(6.646100000000001-5.21602j),(6.853560000000001-5.618640000000001j),(6.99214-5.84332j),(7.08152-5.87694j),(7.137280000000001-5.82036j),(7.211080000000001-5.8056j),(7.175000000000001-5.68014j)
8.1,(5.752278914285719-3.691894980952379j),(5.77198-3.6449000000000007j),(5.989280000000001-4.019640000000001j),(6.25578-4.58134j),(6.416500000000001-4.83718j),(6.5936200000000005-5.204540000000001j),(6.8183-5.5932200000000005j),(6.950320000000001-5.803960000000001j),(7.039700000000002-5.85562j),(7.093000000000001-5.781820000000001j),(7.179100000000001-5.76542j),(7.15122-5.645700000000001j)
8.15,(5.742785657142855-3.6787554571428553j),(5.77034-3.64408j),(5.986000000000001-4.00652j),(6.239380000000001-4.5583800000000005j),(6.41322-4.817500000000001j),(6.58706-5.18404j),(6.801900000000001-5.5596000000000005j),(6.93884-5.766240000000001j),(7.042980000000001-5.81052j),(7.079880000000001-5.749020000000001j),(7.16516-5.730980000000001j),(7.147940000000001-5.6047j)
8.2,(5.7332924-3.6654492000000003j),(5.7629600000000005-3.6186600000000007j),(5.97534-3.9811000000000005j),(6.232-4.53706j),(6.396820000000001-4.781420000000001j),(6.556720000000001-5.1619j),(6.769920000000001-5.5587800000000005j),(6.91506-5.7793600000000005j),(7.006080000000001-5.799040000000001j),(7.054460000000001-5.753940000000001j),(7.13072-5.74164j),(7.111040000000001-5.60716j)
8.25,(5.723799142857143-3.652863371428572j),(5.748200000000001-3.6022600000000002j),(5.96058-3.9606000000000003j),(6.21888-4.517380000000001j),(6.379600000000001-4.77158j),(6.5616400000000015-5.152880000000001j),(6.7732-5.54074j),(6.9167000000000005-5.75886j),(6.99624-5.8056j),(7.045440000000001-5.75558j),(7.124980000000001-5.740820000000001j),(7.095460000000001-5.617j)
8.3,(5.716709266666667-3.6390631619047618j),(5.73262-3.5899600000000005j),(5.950740000000001-3.9597800000000003j),(6.2156-4.50098j),(6.377140000000001-4.75928j),(6.556720000000001-5.12418j),(6.7732-5.52188j),(6.910960000000001-5.72606j),(7.01264-5.77034j),(7.05774-5.71786j),(7.1463-5.70228j),(7.126620000000001-5.5760000000000005j)
8.35,(5.708793142857143-3.6262508571428578j),(5.740820000000001-3.58668j),(5.950740000000001-3.95076j),(6.2041200000000005-4.495240000000001j),(6.36484-4.74944j),(6.53622-5.0995800000000004j),(6.751060000000001-5.48826j),(6.879800000000001-5.717040000000001j),(6.986400000000001-5.7605j),(7.03396-5.68916j),(7.1200600000000005-5.6768600000000005j),(7.10776-5.56288j)
8.4,(5.7016814-3.6136369142857148j),(5.735900000000001-3.5506j),(5.94008-3.91222j),(6.188540000000001-4.462440000000001j),(6.3558200000000005-4.72074j),(6.521460000000001-5.090560000000001j),(6.74204-5.461200000000001j),(6.87406-5.69244j),(6.971640000000001-5.75558j),(7.01838-5.688340000000001j),(7.095460000000001-5.684240000000001j),(7.07578-5.57026j)
8.45,(5.694046028571429-3.5999101142857146j),(5.71786-3.55388j),(5.9245-3.91796j),(6.17788-4.45424j),(6.33286-4.70434j),(6.51326-5.07744j),(6.729740000000001-5.46694j),(6.866680000000001-5.679320000000001j),(6.94704-5.7285200000000005j),(6.99624-5.664560000000001j),(7.074960000000001-5.651440000000001j),(7.045440000000001-5.5423800000000005j)
8.5,(5.687405200000001-3.585650314285714j),(5.7072-3.54158j),(5.91138-3.9023800000000004j),(6.16804-4.447680000000001j),(6.31974-4.69696j),(6.50506-5.05448j),(6.7125200000000005-5.4390600000000004j),(6.84208-5.65472j),(6.938020000000001-5.701460000000001j),(6.985580000000001-5.6375j),(7.071680000000001-5.630940000000001j),(7.05774-5.51696j)
8.55,(5.678273133333334-3.569831733333334j),(5.7072-3.5227200000000005j),(5.91056-3.8712200000000005j),(6.1623-4.41078j),(6.3230200000000005-4.667440000000001j),(6.4903-5.019220000000001j),(6.70514-5.4062600000000005j),(6.833060000000001-5.61782j),(6.938020000000001-5.67194j),(6.9839400000000005-5.618640000000001j),(7.074960000000001-5.6129j),(7.063480000000001-5.498100000000001j)
8.6,(5.670859942857143-3.5536300952380957j),(5.70802-3.50386j),(5.908920000000001-3.8572800000000003j),(6.1524600000000005-4.39684j),(6.318920000000001-4.65186j),(6.483740000000001-5.01266j),(6.690380000000001-5.408720000000001j),(6.8265-5.63012j),(6.919160000000001-5.683420000000001j),(6.9667200000000005-5.633400000000001j),(7.042980000000001-5.63504j),(7.024940000000001-5.52352j)
8.65,(5.661422914285715-3.5394772857142867j),(5.68752-3.49566j),(5.8917-3.85072j),(6.144260000000001-4.39848j),(6.29514-4.6428400000000005j),(6.477180000000001-5.0102j),(6.687920000000001-5.40298j),(6.829780000000001-5.621100000000001j),(6.906040000000001-5.6612800000000005j),(6.96262-5.618640000000001j),(7.0372400000000015-5.60388j),(7.0159199999999995-5.48498j)
8.7,(5.652940990476191-3.5263635333333334j),(5.67194-3.4964800000000005j),(5.871200000000001-3.8474400000000006j),(6.12786-4.3878200000000005j),(6.27546-4.643660000000001j),(6.459960000000001-4.9938j),(6.66086-5.37018j),(6.801080000000001-5.58748j),(6.8921-5.638320000000001j),(6.94622-5.563700000000001j),(7.032320000000001-5.56452j),(7.021660000000001-5.45464j)
8.75,(5.647627780952382-3.5161459428571433j),(5.67522-3.47188j),(5.87202-3.8253000000000004j),(6.124580000000001-4.36322j),(6.2721800000000005-4.61824j),(6.443560000000001-4.96346j),(6.6502-5.340660000000001j),(6.7814000000000005-5.5514j),(6.87898-5.61536j),(6.927360000000001-5.550580000000001j),(7.0175600000000005-5.55386j),(7.01018-5.44234j)
8.8,(5.641246228571429-3.501501914285715j),(5.6604600000000005-3.4612200000000004j),(5.8589-3.80972j),(6.1008000000000004-4.3369800000000005j),(6.25824-4.58872j),(6.4247000000000005-4.94132j),(6.62642-5.323440000000001j),(6.756800000000001-5.546480000000001j),(6.856020000000001-5.60388j),(6.90276-5.56534j),(6.99378-5.5555j),(6.985580000000001-5.4489j)
8.85,(5.632745952380953-3.490605676190478j),(5.648980000000001-3.4374400000000005j),(5.84414-3.7884j),(6.090960000000001-4.32386j),(6.242660000000001-4.56658j),(6.41814-4.92492j),(6.619860000000001-5.313600000000001j),(6.76254-5.5473j),(6.842900000000001-5.598140000000001j),(6.89128-5.54976j),(6.979840000000001-5.5514j),(6.971640000000001-5.45382j)
8.9,(5.626129333333335-3.4793338j),(5.6539-3.4267800000000004j),(5.85234-3.7818400000000003j),(6.09752-4.32386j),(6.243480000000001-4.55428j),(6.425520000000001-4.92656j),(6.6280600000000005-5.3177j),(6.74778-5.54976j),(6.833880000000001-5.60388j),(6.89128-5.55632j),(6.971640000000001-5.562060000000001j),(6.9658999999999995-5.463660000000001j)
8.95,(5.619512714285714-3.4678210000000003j),(5.63996-3.4284200000000005j),(5.8293800000000005-3.77446j),(6.071280000000001-4.305000000000001j),(6.21888-4.545260000000001j),(6.3910800000000005-4.89458j),(6.596080000000001-5.280800000000001j),(6.7289200000000005-5.500560000000001j),(6.8265-5.55468j),(6.890460000000001-5.49974j),(6.974920000000001-5.5071200000000005j),(6.972460000000001-5.40462j)
9.0,(5.609382590476191-3.4558962476190485j),(5.638320000000001-3.41038j),(5.831840000000001-3.7547800000000002j),(6.074560000000001-4.28204j),(6.223800000000001-4.530500000000001j),(6.3902600000000005-4.87736j),(6.5887-5.25948j),(6.72318-5.48498j),(6.8150200000000005-5.54484j),(6.8633999999999995-5.495640000000001j),(6.93884-5.510400000000001j),(6.927360000000001-5.4038j)
9.05,(5.601937380952382-3.4422592571428576j),(5.61782-3.3989j),(5.814620000000001-3.7408400000000004j),(6.06062-4.2681000000000004j),(6.204940000000001-4.5075400000000005j),(6.3738600000000005-4.864240000000001j),(6.564920000000001-5.2537400000000005j),(6.704320000000001-5.4735000000000005j),(6.792880000000001-5.52024j),(6.84372-5.48252j),(6.92572-5.476780000000001j),(6.91588-5.36444j)
9.1,(5.5929494-3.4318124571428577j),(5.6129-3.3849600000000004j),(5.80314-3.7252600000000005j),(6.04504-4.25908j),(6.193460000000001-4.49934j),(6.364020000000001-4.8544j),(6.55344-5.2316j),(6.685460000000001-5.4571000000000005j),(6.767460000000001-5.50138j),(6.817480000000001-5.458740000000001j),(6.904400000000001-5.4562800000000005j),(6.895380000000001-5.35378j)
9.15,(5.587803314285715-3.420484742857143j),(5.61536-3.3734800000000003j),(5.80478-3.71296j),(6.04668-4.240220000000001j),(6.191820000000001-4.48294j),(6.3574600000000006-4.8289800000000005j),(6.55508-5.2029000000000005j),(6.681360000000001-5.42184j),(6.77156-5.485800000000001j),(6.824860000000001-5.43578j),(6.906860000000001-5.443980000000001j),(6.90522-5.348040000000001j)
9.2,(5.577315123809525-3.4071421714285717j),(5.6104400000000005-3.3636400000000006j),(5.7965800000000005-3.7014800000000005j),(6.03274-4.220540000000001j),(6.178700000000001-4.46326j),(6.35008-4.815860000000001j),(6.544420000000001-5.18404j),(6.667420000000001-5.408720000000001j),(6.75762-5.4653j),(6.8183-5.430860000000001j),(6.897840000000001-5.433320000000001j),(6.890460000000001-5.33656j)
9.25,(5.5685298-3.3943407999999997j),(5.59978-3.3521600000000005j),(5.79166-3.6900000000000004j),(6.0335600000000005-4.21152j),(6.17952-4.458340000000001j),(6.34598-4.80192j),(6.53294-5.1824j),(6.664140000000001-5.41938j),(6.74368-5.47186j),(6.801080000000001-5.428400000000001j),(6.879800000000001-5.443160000000001j),(6.869960000000001-5.3382000000000005j)
9.3,(5.563935457142858-3.3846058380952386j),(5.58994-3.3333000000000004j),(5.78264-3.6727800000000004j),(6.022080000000001-4.19594j),(6.15984-4.43702j),(6.332040000000001-4.7888j),(6.529660000000001-5.158620000000001j),(6.658399999999999-5.39232j),(6.740400000000001-5.443160000000001j),(6.795340000000001-5.4062600000000005j),(6.86586-5.411180000000001j),(6.869960000000001-5.31278j)
9.35,(5.556632380952381-3.3720942000000007j),(5.57354-3.3390400000000002j),(5.75476-3.6711400000000007j),(5.9991200000000005-4.192660000000001j),(6.136880000000001-4.42882j),(6.309900000000001-4.77404j),(6.493580000000001-5.14386j),(6.614940000000001-5.363620000000001j),(6.709240000000001-5.4234800000000005j),(6.76828-5.3751j),(6.854380000000001-5.3792j),(6.851100000000001-5.28162j)
9.4,(5.548084857142858-3.358862914285716j),(5.578460000000001-3.3152600000000003j),(5.767060000000001-3.65228j),(6.00732-4.16888j),(6.140160000000001-4.40012j),(6.30416-4.74452j),(6.49604-5.1184400000000005j),(6.62642-5.3341j),(6.711700000000001-5.39888j),(6.769100000000001-5.358700000000001j),(6.858480000000001-5.36936j),(6.85766-5.2709600000000005j)
9.45,(5.54257601904762-3.3491388857142868j),(5.56452-3.2996800000000004j),(5.751480000000001-3.6252200000000006j),(5.98764-4.13608j),(6.1254-4.3714200000000005j),(6.291860000000001-4.715820000000001j),(6.48538-5.090560000000001j),(6.61822-5.3177j),(6.708419999999999-5.37756j),(6.766640000000001-5.341480000000001j),(6.851920000000001-5.35378j),(6.8486400000000005-5.257840000000001j)
9.5,(5.534498238095239-3.336139933333334j),(5.562060000000001-3.2996800000000004j),(5.746560000000001-3.6285000000000003j),(5.988460000000001-4.141j),(6.1188400000000005-4.372240000000001j),(6.2976-4.72238j),(6.483740000000001-5.09712j),(6.603460000000001-5.3209800000000005j),(6.679720000000001-5.3792j),(6.74204-5.340660000000001j),(6.817480000000001-5.343940000000001j),(6.8183-5.2537400000000005j)
9.55,(5.526088942857144-3.324455714285715j),(5.563700000000001-3.2808200000000007j),(5.7457400000000005-3.61292j),(5.9827200000000005-4.13198j),(6.11228-4.364860000000001j),(6.28284-4.71828j),(6.46734-5.088920000000001j),(6.590340000000001-5.310320000000001j),(6.67644-5.373460000000001j),(6.729740000000001-5.326720000000001j),(6.8150200000000005-5.34886j),(6.8133799999999995-5.2537400000000005j)
