Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(11.401768285714283-7.345660885714285j),(11.466360000000002-7.2430200000000005j),(11.905380000000001-7.9866j),(12.373560000000001-9.05742j),(12.731580000000001-9.604980000000001j),(13.0653-10.32588j),(13.520520000000001-11.118060000000002j),(13.81212-11.523060000000001j),(13.9725-11.568420000000001j),(14.05188-11.44692j),(14.194440000000002-11.41128j),(14.136120000000002-11.14722j)
8.05,(11.383013314285717-7.319702314285712j),(11.4777-7.2171j),(11.897280000000002-7.96554j),(12.425400000000002-9.07362j),(12.7575-9.55152j),(13.130100000000002-10.30482j),(13.539960000000002-11.100240000000001j),(13.81374-11.544120000000001j),(13.99032-11.61054j),(14.100480000000003-11.49876j),(14.246280000000002-11.469600000000002j),(14.175-11.22174j)
8.1,(11.36425834285715-7.293743742857139j),(11.40318-7.200900000000001j),(11.83248-7.9412400000000005j),(12.35898-9.05094j),(12.6765-9.55638j),(13.026420000000002-10.282140000000002j),(13.4703-11.05002j),(13.731120000000002-11.466360000000002j),(13.907700000000002-11.568420000000001j),(14.013000000000002-11.42262j),(14.183100000000001-11.390220000000001j),(14.128020000000001-11.1537j)
8.15,(11.345503371428567-7.267785171428567j),(11.39994-7.199280000000001j),(11.826-7.91532j),(12.326580000000002-9.00558j),(12.670020000000001-9.5175j),(13.01346-10.24164j),(13.4379-10.983600000000001j),(13.708440000000001-11.39184j),(13.914180000000002-11.479320000000001j),(13.98708-11.35782j),(14.15556-11.322180000000001j),(14.121540000000001-11.072700000000001j)
8.2,(11.3267484-7.2414972j),(11.38536-7.149060000000001j),(11.80494-7.865100000000001j),(12.312-8.963460000000001j),(12.637620000000002-9.446220000000002j),(12.953520000000001-10.1979j),(13.374720000000002-10.98198j),(13.66146-11.417760000000001j),(13.841280000000001-11.45664j),(13.936860000000001-11.367540000000002j),(14.087520000000001-11.34324j),(14.048640000000002-11.07756j)
8.25,(11.307993428571429-7.216632514285715j),(11.356200000000001-7.11666j),(11.775780000000001-7.8246j),(12.28608-8.92458j),(12.603600000000002-9.42678j),(12.963240000000003-10.18008j),(13.3812-10.946340000000001j),(13.664700000000002-11.37726j),(13.821840000000002-11.469600000000002j),(13.919040000000003-11.370780000000002j),(14.07618-11.34162j),(14.017860000000002-11.097j)
8.3,(11.2939866-7.189368685714285j),(11.32542-7.09236j),(11.75634-7.82298j),(12.2796-8.89218j),(12.598740000000001-9.40248j),(12.953520000000001-10.123380000000001j),(13.3812-10.909080000000001j),(13.653360000000003-11.31246j),(13.85424-11.39994j),(13.94334-11.29626j),(14.118300000000001-11.26548j),(14.079420000000002-11.016j)
8.35,(11.27834742857143-7.164056571428572j),(11.34162-7.0858799999999995j),(11.75634-7.80516j),(12.256920000000001-8.880840000000001j),(12.574440000000001-9.383040000000001j),(12.913020000000001-10.07478j),(13.337460000000002-10.84266j),(13.591800000000001-11.294640000000001j),(13.8024-11.380500000000001j),(13.89636-11.23956j),(14.066460000000001-11.21526j),(14.042159999999999-10.99008j)
8.4,(11.2642974-7.139136342857144j),(11.331900000000001-7.014600000000001j),(11.735280000000001-7.72902j),(12.226140000000001-8.816040000000001j),(12.55662-9.32634j),(12.883860000000002-10.05696j),(13.31964-10.789200000000001j),(13.580459999999999-11.24604j),(13.773240000000001-11.370780000000002j),(13.86558-11.237940000000002j),(14.017860000000002-11.229840000000001j),(13.97898-11.004660000000001j)
8.45,(11.249212885714286-7.112017542857143j),(11.29626-7.0210799999999995j),(11.7045-7.74036j),(12.20508-8.799840000000001j),(12.51126-9.293940000000001j),(12.86766-10.03104j),(13.295340000000001-10.80054j),(13.565880000000002-11.220120000000001j),(13.72464-11.31732j),(13.821840000000002-11.19096j),(13.977360000000001-11.165040000000001j),(13.919040000000003-10.949580000000001j)
