Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(10.768336714285711-6.937568614285713j),(10.82934-6.84063j),(11.243970000000001-7.5428999999999995j),(11.68614-8.55423j),(12.02427-9.07137j),(12.33945-9.75222j),(12.76938-10.500390000000001j),(13.04478-10.882890000000002j),(13.196250000000001-10.92573j),(13.27122-10.81098j),(13.40586-10.77732j),(13.350780000000002-10.527930000000001j)
8.05,(10.750623685714288-6.913052185714283j),(10.84005-6.81615j),(11.236320000000001-7.52301j),(11.735100000000001-8.56953j),(12.04875-9.02088j),(12.40065-9.73233j),(12.787740000000001-10.48356j),(13.046309999999998-10.90278j),(13.21308-10.96551j),(13.317120000000001-10.85994j),(13.454820000000002-10.8324j),(13.387500000000001-10.59831j)
8.1,(10.732910657142863-6.888535757142853j),(10.76967-6.8008500000000005j),(11.17512-7.50006j),(11.672369999999999-8.54811j),(11.97225-9.02547j),(12.30273-9.71091j),(12.72195-10.43613j),(12.968280000000002-10.82934j),(13.135050000000001-10.92573j),(13.2345-10.788030000000001j),(13.395150000000001-10.75743j),(13.34313-10.53405j)
8.15,(10.715197628571424-6.864019328571425j),(10.76661-6.79932j),(11.169-7.47558j),(11.641770000000001-8.505270000000001j),(11.96613-8.98875j),(12.29049-9.67266j),(12.69135-10.3734j),(12.94686-10.75896j),(13.14117-10.84158j),(13.21002-10.72683j),(13.36914-10.69317j),(13.337010000000001-10.45755j)
8.2,(10.6974846-6.8391918j),(10.752839999999999-6.75189j),(11.14911-7.4281500000000005j),(11.628-8.46549j),(11.93553-8.92143j),(12.233880000000001-9.63135j),(12.631680000000001-10.37187j),(12.90249-10.78344j),(13.072320000000001-10.82016j),(13.16259-10.73601j),(13.30488-10.71306j),(13.268160000000002-10.46214j)
8.25,(10.67977157142857-6.815708485714286j),(10.7253-6.72129j),(11.12157-7.3899j),(11.60352-8.42877j),(11.903400000000001-8.90307j),(12.243060000000002-9.61452j),(12.6378-10.33821j),(12.905550000000002-10.74519j),(13.05396-10.8324j),(13.145760000000001-10.73907j),(13.294170000000001-10.711530000000002j),(13.239090000000001-10.4805j)
8.3,(10.6665429-6.7899593142857135j),(10.69623-6.69834j),(11.103209999999999-7.38837j),(11.5974-8.39817j),(11.898810000000001-8.88012j),(12.233880000000001-9.56097j),(12.6378-10.30302j),(12.894840000000002-10.68399j),(13.08456-10.76661j),(13.168709999999999-10.66869j),(13.33395-10.639619999999999j),(13.29723-10.404j)
8.35,(10.651772571428571-6.766053428571429j),(10.711530000000002-6.69222j),(11.103209999999999-7.3715399999999995j),(11.57598-8.38746j),(11.87586-8.86176j),(12.19563-9.515070000000001j),(12.596490000000001-10.24029j),(12.8367-10.66716j),(13.035599999999999-10.74825j),(13.12434-10.61514j),(13.28499-10.59219j),(13.262039999999999-10.37952j)
8.4,(10.6385031-6.742517657142858j),(10.702350000000001-6.6249j),(11.08332-7.29963j),(11.54691-8.32626j),(11.85903-8.808209999999999j),(12.168090000000001-9.498240000000001j),(12.579659999999999-10.1898j),(12.82599-10.621260000000001j),(13.00806-10.73907j),(13.09527-10.613610000000001j),(13.239090000000001-10.605960000000001j),(13.20237-10.39329j)
8.45,(10.624256614285715-6.7169054571428575j),(10.66869-6.6310199999999995j),(11.05425-7.310339999999999j),(11.52702-8.310960000000001j),(11.81619-8.777610000000001j),(12.15279-9.47376j),(12.55671-10.20051j),(12.812220000000002-10.59678j),(12.962159999999999-10.68858j),(13.05396-10.56924j),(13.200840000000001-10.54476j),(13.145760000000001-10.341270000000002j)
8.5,(10.6118658-6.690298757142856j),(10.6488-6.60807j),(11.02977-7.281270000000001j),(11.50866-8.298720000000001j),(11.79171-8.76384j),(12.13749-9.43092j),(12.52458-10.14849j),(12.766319999999999-10.55088j),(12.94533-10.63809j),(13.03407-10.51875j),(13.19472-10.50651j),(13.168709999999999-10.29384j)
8.55,(10.5948267-6.6607836j),(10.6488-6.5728800000000005j),(11.02824-7.22313j),(11.49795-8.22987j),(11.797830000000001-8.70876j),(12.10995-9.36513j),(12.51081-10.08729j),(12.74949-10.48203j),(12.94533-10.58301j),(13.03101-10.48356j),(13.200840000000001-10.47285j),(13.179420000000002-10.258650000000001j)
8.6,(10.580994771428571-6.630553714285715j),(10.65033-6.53769j),(11.02518-7.19712j),(11.47959-8.20386j),(11.790180000000001-8.67969j),(12.097710000000001-9.35289j),(12.483270000000001-10.09188j),(12.73725-10.50498j),(12.910140000000002-10.60443j),(12.998880000000002-10.5111j),(13.14117-10.51416j),(13.107510000000001-10.30608j)
8.65,(10.563386657142857-6.6041466428571445j),(10.61208-6.52239j),(10.99305-7.18488j),(11.46429-8.20692j),(11.745809999999999-8.66286j),(12.08547-9.3483j),(12.47868-10.08117j),(12.74337-10.488150000000001j),(12.885660000000001-10.56312j),(12.99123-10.48356j),(13.130460000000001-10.456019999999999j),(13.090679999999999-10.23417j)
8.7,(10.54756062857143-6.579678299999999j),(10.58301-6.52392j),(10.9548-7.1787600000000005j),(11.43369-8.18703j),(11.70909-8.664390000000001j),(12.05334-9.3177j),(12.428189999999999-10.01997j),(12.689820000000001-10.42542j),(12.859649999999998-10.520280000000001j),(12.96063-10.38105j),(13.12128-10.382579999999999j),(13.10139-10.17756j)
8.75,(10.537646957142858-6.560613771428572j),(10.58913-6.47802j),(10.95633-7.13745j),(11.427570000000001-8.14113j),(11.70297-8.616959999999999j),(12.022739999999999-9.26109j),(12.408299999999999-9.96489j),(12.6531-10.3581j),(12.83517-10.47744j),(12.92544-10.35657j),(13.09374-10.362689999999999j),(13.07997-10.15461j)
8.8,(10.525739914285714-6.533290157142858j),(10.561589999999999-6.458130000000001j),(10.931849999999999-7.10838j),(11.3832-8.09217j),(11.67696-8.56188j),(11.98755-9.21978j),(12.36393-9.93276j),(12.6072-10.34892j),(12.792330000000002-10.456019999999999j),(12.879539999999999-10.38411j),(13.04937-10.36575j),(13.03407-10.16685j)
8.85,(10.509879642857143-6.512959371428574j),(10.54017-6.413760000000001j),(10.90431-7.0686j),(11.364840000000001-8.067689999999999j),(11.64789-8.52057j),(11.97531-9.18918j),(12.351690000000001-9.9144j),(12.61791-10.35045j),(12.767850000000001-10.445310000000001j),(12.85812-10.35504j),(13.02336-10.3581j),(13.00806-10.176029999999999j)
8.9,(10.497534000000002-6.4919277j),(10.549349999999999-6.393870000000001j),(10.919609999999999-7.056360000000001j),(11.37708-8.067689999999999j),(11.64942-8.497620000000001j),(11.989080000000001-9.19224j),(12.366990000000001-9.92205j),(12.590369999999998-10.35504j),(12.75102-10.456019999999999j),(12.85812-10.36728j),(13.00806-10.37799j),(12.997349999999999-10.19439j)
8.95,(10.485188357142858-6.4704465j),(10.523340000000001-6.39693j),(10.87677-7.04259j),(11.32812-8.0325j),(11.60352-8.48079j),(11.92482-9.132570000000001j),(12.30732-9.853200000000001j),(12.55518-10.26324j),(12.73725-10.36422j),(12.85659-10.26171j),(13.014180000000001-10.27548j),(13.009590000000001-10.08423j)
9.0,(10.46628702857143-6.448196657142858j),(10.520280000000001-6.36327j),(10.88136-7.00587j),(11.334240000000001-7.989660000000001j),(11.6127-8.45325j),(11.92329-9.10044j),(12.29355-9.813419999999999j),(12.54447-10.23417j),(12.71583-10.34586j),(12.806099999999999-10.25406j),(12.94686-10.2816j),(12.92544-10.082699999999999j)
9.05,(10.452395357142859-6.422752028571429j),(10.48203-6.341849999999999j),(10.84923-6.97986j),(11.30823-7.96365j),(11.57751-8.41041j),(11.89269-9.07596j),(12.24918-9.80271j),(12.50928-10.21275j),(12.674520000000001-10.29996j),(12.76938-10.22958j),(12.92238-10.21887j),(12.90402-10.00926j)
9.1,(10.4356251-6.4032598285714295j),(10.47285-6.315840000000001j),(10.82781-6.9507900000000005j),(11.27916-7.94682j),(11.55609-8.39511j),(11.87433-9.0576j),(12.22776-9.7614j),(12.47409-10.18215j),(12.62709-10.26477j),(12.72042-10.18521j),(12.8826-10.18062j),(12.865770000000001-9.98937j)
9.15,(10.426023257142857-6.382123971428571j),(10.47744-6.29442j),(10.830869999999999-6.92784j),(11.282219999999999-7.911630000000001j),(11.55303-8.36451j),(11.86209-9.01017j),(12.23082-9.70785j),(12.46644-10.11636j),(12.634739999999999-10.235700000000001j),(12.734190000000002-10.14237j),(12.88719-10.157670000000001j),(12.884129999999999-9.978660000000001j)
9.2,(10.40645382857143-6.3572286857142855j),(10.468259999999999-6.27606j),(10.81557-6.906420000000001j),(11.256210000000001-7.874910000000001j),(11.528550000000001-8.32779j),(11.84832-8.98569j),(12.21093-9.67266j),(12.440430000000001-10.09188j),(12.60873-10.19745j),(12.72195-10.13319j),(12.870360000000002-10.137780000000001j),(12.85659-9.95724j)
9.25,(10.3900617-6.3333432j),(10.44837-6.25464j),(10.80639-6.885j),(11.25774-7.85808j),(11.53008-8.318610000000001j),(11.84067-8.95968j),(12.18951-9.6696j),(12.434310000000002-10.11177j),(12.58272-10.20969j),(12.689820000000001-10.1286j),(12.8367-10.15614j),(12.818340000000001-9.9603j)
9.3,(10.38148932857143-6.315179185714286j),(10.430010000000001-6.219450000000001j),(10.78956-6.85287j),(11.236320000000001-7.82901j),(11.49336-8.27883j),(11.814660000000002-8.9352j),(12.183390000000001-9.62523j),(12.423599999999999-10.06128j),(12.576600000000001-10.15614j),(12.679110000000001-10.08729j),(12.81069-10.09647j),(12.818340000000001-9.91287j)
9.35,(10.367862857142857-6.291834300000001j),(10.39941-6.230160000000001j),(10.73754-6.849810000000001j),(11.19348-7.822890000000001j),(11.450520000000001-8.26353j),(11.77335-8.90766j),(12.116069999999999-9.59769j),(12.34251-10.00773j),(12.518460000000001-10.11942j),(12.62862-10.02915j),(12.78927-10.0368j),(12.783150000000001-9.85473j)
9.4,(10.35191442857143-6.26714665714286j),(10.40859-6.18579j),(10.76049-6.81462j),(11.208779999999999-7.778519999999999j),(11.45664-8.20998j),(11.76264-8.85258j),(12.120659999999999-9.55026j),(12.36393-9.95265j),(12.523050000000001-10.07352j),(12.630150000000002-9.99855j),(12.796920000000002-10.01844j),(12.79539-9.83484j)
9.45,(10.341635742857145-6.249003042857145j),(10.382579999999999-6.15672j),(10.73142-6.764130000000001j),(11.17206-7.71732j),(11.4291-8.15643j),(11.73969-8.79903j),(12.10077-9.498240000000001j),(12.34863-9.92205j),(12.516929999999999-10.03374j),(12.625560000000002-9.966420000000001j),(12.78468-9.98937j),(12.77856-9.81036j)
9.5,(10.326563785714287-6.224748900000001j),(10.37799-6.15672j),(10.72224-6.77025j),(11.17359-7.7265j),(11.41686-8.15796j),(11.750399999999999-8.81127j),(12.097710000000001-9.510480000000001j),(12.321090000000002-9.92817j),(12.46338-10.0368j),(12.579659999999999-9.96489j),(12.72042-9.971010000000001j),(12.72195-9.80271j)
9.55,(10.310873271428573-6.202947857142858j),(10.38105-6.121530000000001j),(10.72071-6.74118j),(11.162880000000001-7.70967j),(11.40462-8.14419j),(11.72286-8.803619999999999j),(12.06711-9.495180000000001j),(12.296610000000001-9.90828j),(12.45726-10.02609j),(12.55671-9.938880000000001j),(12.71583-9.98019j),(12.712769999999999-9.80271j)
9.6,(10.2970887-6.1802973j),(10.36575-6.11235j),(10.706940000000001-6.72588j),(11.150640000000001-7.6851899999999995j),(11.40309-8.11206j),(11.70297-8.75619j),(12.04569-9.44775j),(12.28743-9.85779j),(12.445020000000001-9.954180000000001j),(12.55671-9.89604j),(12.72042-9.92817j),(12.72195-9.76446j)
9.65,(10.28468112857143-6.163454185714286j),(10.3428-6.07869j),(10.67634-6.686100000000001j),(11.11239-7.636229999999999j),(11.364840000000001-8.06922j),(11.67696-8.69652j),(12.03957-9.38655j),(12.27672-9.80118j),(12.428189999999999-9.92205j),(12.54906-9.85932j),(12.694410000000001-9.8991j),(12.689820000000001-9.73539j)
9.7,(10.275010071428571-6.1399512000000005j),(10.32291-6.06339j),(10.6641-6.66927j),(11.10474-7.60869j),(11.34036-8.049330000000001j),(11.65095-8.69958j),(11.99061-9.38808j),(12.23541-9.795060000000001j),(12.38688-9.91593j),(12.503160000000001-9.86697j),(12.65922-9.87462j),(12.646980000000001-9.70632j)
9.75,(10.260869957142857-6.113063271428572j),(10.3122-6.03432j),(10.65492-6.64326j),(11.0925-7.5995099999999995j),(11.32659-8.029440000000001j),(11.65707-8.66592j),(11.984490000000001-9.35136j),(12.24153-9.77823j),(12.392999999999999-9.880740000000001j),(12.49092-9.81495j),(12.65004-9.84861j),(12.654630000000001-9.67572j)
9.8,(10.246297071428572-6.097145442857143j),(10.31067-6.02208j),(10.65492-6.6249j),(11.09709-7.57503j),(11.32659-7.99578j),(11.634120000000001-8.63379j),(11.97837-9.3177j),(12.21246-9.720089999999999j),(12.35781-9.833309999999999j),(12.46644-9.76905j),(12.63321-9.79659j),(12.646980000000001-9.62064j)
9.85,(10.240954457142855-6.068441185714286j),(10.30302-6.00678j),(10.63503-6.60654j),(11.064960000000001-7.538309999999999j),(11.31435-7.96365j),(11.61576-8.60166j),(11.96307-9.27945j),(12.1941-9.697140000000001j),(12.34863-9.80271j),(12.45879-9.7461j),(12.620970000000002-9.79353j),(12.614849999999999-9.63594j)
