Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(5.06745257142857-3.2647381714285704j),(5.09616-3.2191199999999998j),(5.2912799999999995-3.5496j),(5.499359999999999-4.02552j),(5.65848-4.26888j),(5.806799999999999-4.58928j),(6.00912-4.94136j),(6.138719999999999-5.12136j),(6.21-5.14152j),(6.245279999999999-5.08752j),(6.3086400000000005-5.07168j),(6.28272-4.95432j)
8.05,(5.059117028571429-3.2532010285714272j),(5.1011999999999995-3.2076j),(5.28768-3.54024j),(5.522399999999999-4.032719999999999j),(5.67-4.24512j),(5.8356-4.5799199999999995j),(6.01776-4.93344j),(6.13944-5.13072j),(6.2179199999999994-5.16024j),(6.2668800000000005-5.1105599999999995j),(6.33168-5.0976j),(6.3-4.987439999999999j)
8.1,(5.050781485714289-3.2416638857142837j),(5.068079999999999-3.2004j),(5.25888-3.52944j),(5.4928799999999995-4.02264j),(5.634-4.24728j),(5.78952-4.56984j),(5.9868-4.9111199999999995j),(6.102720000000001-5.09616j),(6.1812000000000005-5.14152j),(6.228-5.07672j),(6.3036-5.06232j),(6.27912-4.957199999999999j)
8.15,(5.042445942857141-3.230126742857141j),(5.06664-3.19968j),(5.255999999999999-3.51792j),(5.478479999999999-4.00248j),(5.631119999999999-4.2299999999999995j),(5.783759999999999-4.551839999999999j),(5.9723999999999995-4.8816j),(6.092639999999999-5.06304j),(6.18408-5.10192j),(6.21648-5.0479199999999995j),(6.291359999999999-5.03208j),(6.2762400000000005-4.9212j)
8.2,(5.034110399999999-3.2184432j),(5.06016-3.17736j),(5.24664-3.4956j),(5.4719999999999995-3.98376j),(5.61672-4.19832j),(5.7571200000000005-4.5324j),(5.94432-4.880879999999999j),(6.071759999999999-5.07456j),(6.15168-5.0918399999999995j),(6.194159999999999-5.05224j),(6.261119999999999-5.04144j),(6.2438400000000005-4.92336j)
8.25,(5.025774857142856-3.2073922285714285j),(5.047199999999999-3.1629599999999995j),(5.23368-3.4776j),(5.46048-3.9664800000000002j),(5.6016-4.18968j),(5.76144-4.52448j),(5.9472-4.86504j),(6.0732-5.056559999999999j),(6.14304-5.0976j),(6.18624-5.05368j),(6.25608-5.04072j),(6.23016-4.9319999999999995j)
8.3,(5.0195495999999995-3.1952749714285713j),(5.033519999999999-3.15216j),(5.22504-3.4768799999999995j),(5.4576-3.9520799999999996j),(5.5994399999999995-4.17888j),(5.7571200000000005-4.49928j),(5.9472-4.8484799999999995j),(6.068160000000001-5.02776j),(6.157439999999999-5.06664j),(6.197039999999999-5.02056j),(6.2748-5.00688j),(6.25752-4.896j)
8.35,(5.012598857142857-3.184025142857143j),(5.04072-3.1492799999999996j),(5.22504-3.4689599999999996j),(5.44752-3.94704j),(5.58864-4.17024j),(5.73912-4.47768j),(5.92776-4.81896j),(6.0408-5.01984j),(6.134399999999999-5.058j),(6.176159999999999-4.99536j),(6.25176-4.98456j),(6.240959999999999-4.88448j)
8.4,(5.006354399999999-3.172949485714286j),(5.0363999999999995-3.1176j),(5.21568-3.43512j),(5.43384-3.91824j),(5.58072-4.14504j),(5.72616-4.46976j),(5.91984-4.7952j),(6.035759999999999-4.99824j),(6.121440000000001-5.05368j),(6.1624799999999995-4.99464j),(6.23016-4.99104j),(6.212879999999999-4.89096j)
8.45,(4.999650171428571-3.1608966857142855j),(5.02056-3.1204799999999997j),(5.202-3.4401599999999997j),(5.42448-3.9110400000000003j),(5.56056-4.13064j),(5.718959999999999-4.45824j),(5.90904-4.80024j),(6.02928-4.98672j),(6.0998399999999995-5.02992j),(6.14304-4.97376j),(6.21216-4.96224j),(6.18624-4.86648j)
