Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(10.979480571428569-7.07359937142857j),(11.041680000000001-6.974760000000001j),(11.464440000000002-7.690799999999999j),(11.915280000000001-8.721960000000001j),(12.26004-9.24924j),(12.5814-9.943439999999999j),(13.01976-10.706280000000001j),(13.30056-11.096280000000002j),(13.455-11.13996j),(13.53144-11.02296j),(13.66872-10.98864j),(13.612560000000002-10.73436j)
8.05,(10.961420228571432-7.048602228571426j),(11.0526-6.949800000000001j),(11.45664-7.67052j),(11.965200000000001-8.73756j),(12.285-9.19776j),(12.6438-9.92316j),(13.038480000000002-10.68912j),(13.302119999999999-11.116560000000002j),(13.472159999999999-11.18052j),(13.578240000000001-11.07288j),(13.71864-11.0448j),(13.65-10.80612j)
8.1,(10.943359885714292-7.023605085714282j),(10.98084-6.934200000000001j),(11.39424-7.64712j),(11.90124-8.71572j),(12.207-9.202440000000001j),(12.54396-9.90132j),(12.9714-10.64076j),(13.222560000000001-11.041680000000001j),(13.392600000000002-11.13996j),(13.494000000000002-10.99956j),(13.657800000000002-10.96836j),(13.60476-10.7406j)
8.15,(10.92529954285714-6.998607942857139j),(10.97772-6.93264j),(11.388-7.62216j),(11.870040000000001-8.67204j),(12.20076-9.165000000000001j),(12.53148-9.86232j),(12.9402-10.5768j),(13.20072-10.96992j),(13.398840000000002-11.054160000000001j),(13.469040000000001-10.93716j),(13.63128-10.90284j),(13.59852-10.662600000000001j)
8.2,(10.9072392-6.973293600000001j),(10.96368-6.88428j),(11.36772-7.573800000000001j),(11.856-8.631480000000002j),(12.16956-9.09636j),(12.47376-9.8202j),(12.87936-10.57524j),(13.15548-10.99488j),(13.328640000000002-11.03232j),(13.42068-10.946520000000001j),(13.565760000000001-10.92312j),(13.52832-10.66728j)
8.25,(10.889178857142857-6.949349828571429j),(10.9356-6.85308j),(11.339640000000001-7.534800000000001j),(11.83104-8.594040000000001j),(12.136800000000001-9.07764j),(12.483120000000001-9.80304j),(12.8856-10.54092j),(13.158600000000002-10.95588j),(13.30992-11.0448j),(13.403520000000002-10.94964j),(13.55484-10.921560000000001j),(13.498680000000002-10.686j)
8.3,(10.875690800000001-6.923095771428571j),(10.90596-6.829680000000001j),(11.32092-7.53324j),(11.8248-8.56284j),(12.13212-9.05424j),(12.47376-9.74844j),(12.8856-10.505040000000001j),(13.147680000000001-10.89348j),(13.34112-10.97772j),(13.426919999999999-10.87788j),(13.5954-10.84824j),(13.557960000000001-10.608j)
8.35,(10.860630857142857-6.898721142857143j),(10.921560000000001-6.82344j),(11.32092-7.51608j),(11.80296-8.55192j),(12.10872-9.03552j),(12.43476-9.701640000000001j),(12.843480000000001-10.44108j),(13.088400000000002-10.876320000000002j),(13.2912-10.959000000000001j),(13.38168-10.82328j),(13.54548-10.79988j),(13.522079999999999-10.58304j)
8.4,(10.8471012-6.874723885714286j),(10.9122-6.7548j),(11.30064-7.44276j),(11.77332-8.48952j),(12.091560000000001-8.98092j),(12.406680000000001-9.68448j),(12.826319999999999-10.3896j),(13.07748-10.82952j),(13.26312-10.94964j),(13.352039999999999-10.821720000000001j),(13.498680000000002-10.813920000000001j),(13.46124-10.59708j)
8.45,(10.832575371428572-6.848609485714286j),(10.87788-6.7610399999999995j),(11.270999999999999-7.453679999999999j),(11.75304-8.473920000000001j),(12.047880000000001-8.949720000000001j),(12.39108-9.65952j),(12.802920000000002-10.40052j),(13.063440000000002-10.80456j),(13.21632-10.89816j),(13.30992-10.776480000000001j),(13.45968-10.751520000000001j),(13.403520000000002-10.54404j)
