Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(13.372444285714284-8.615281285714284j),(13.448200000000002-8.494900000000001j),(13.9631-9.367j),(14.5122-10.622900000000001j),(14.9321-11.265100000000002j),(15.323500000000001-12.1106j),(15.857400000000002-13.039700000000002j),(16.1994-13.514700000000001j),(16.387500000000003-13.567900000000002j),(16.4806-13.4254j),(16.647800000000004-13.3836j),(16.579400000000003-13.073900000000002j)
8.05,(13.35044771428572-8.584836047619044j),(13.461500000000001-8.464500000000001j),(13.953600000000002-9.3423j),(14.573-10.641900000000001j),(14.9625-11.2024j),(15.399500000000002-12.0859j),(15.880200000000002-13.018800000000002j),(16.2013-13.539400000000002j),(16.4084-13.6173j),(16.5376-13.4862j),(16.7086-13.452000000000002j),(16.625-13.1613j)
8.1,(13.328451142857151-8.554390809523804j),(13.3741-8.445500000000001j),(13.877600000000001-9.3138j),(14.4951-10.6153j),(14.867500000000001-11.2081j),(15.277900000000002-12.059300000000002j),(15.7985-12.959900000000001j),(16.104400000000002-13.448200000000002j),(16.311500000000002-13.567900000000002j),(16.435000000000002-13.3969j),(16.634500000000003-13.3589j),(16.5699-13.0815j)
8.15,(13.306454571428567-8.523945571428568j),(13.3703-8.4436j),(13.870000000000001-9.2834j),(14.4571-10.562100000000001j),(14.8599-11.162500000000001j),(15.2627-12.011800000000001j),(15.7605-12.882000000000001j),(16.0778-13.360800000000001j),(16.319100000000002-13.463400000000002j),(16.404600000000002-13.320900000000002j),(16.6022-13.279100000000001j),(16.5623-12.986500000000001j)
8.2,(13.284458-8.493114j),(13.3532-8.3847j),(13.8453-9.2245j),(14.44-10.5127j),(14.821900000000001-11.0789j),(15.192400000000001-11.960500000000001j),(15.6864-12.8801j),(16.0227-13.391200000000001j),(16.233600000000003-13.436800000000002j),(16.3457-13.332300000000002j),(16.5224-13.3038j),(16.4768-12.9922j)
8.25,(13.262461428571429-8.463951714285715j),(13.319-8.3467j),(13.811100000000001-9.177000000000001j),(14.409600000000001-10.467100000000002j),(14.782000000000002-11.0561j),(15.203800000000003-11.9396j),(15.694-12.8383j),(16.026500000000002-13.3437j),(16.210800000000003-13.452000000000002j),(16.324800000000003-13.336100000000002j),(16.5091-13.301900000000002j),(16.440700000000003-13.015j)
8.3,(13.246033666666667-8.43197561904762j),(13.2829-8.318200000000001j),(13.7883-9.1751j),(14.402000000000001-10.4291j),(14.7763-11.027600000000001j),(15.192400000000001-11.8731j),(15.694-12.7946j),(16.0132-13.2677j),(16.2488-13.3703j),(16.3533-13.248700000000001j),(16.558500000000002-13.2126j),(16.512900000000002-12.92j)
8.35,(13.227691428571429-8.402288571428572j),(13.301900000000002-8.310599999999999j),(13.7883-9.1542j),(14.3754-10.4158j),(14.7478-11.004800000000001j),(15.144900000000002-11.816100000000002j),(15.642700000000001-12.7167j),(15.941000000000003-13.246800000000002j),(16.188-13.347500000000002j),(16.2982-13.1822j),(16.497700000000002-13.1537j),(16.4692-12.8896j)
8.4,(13.211213-8.373061142857145j),(13.290500000000002-8.227j),(13.7636-9.0649j),(14.3393-10.3398j),(14.726900000000002-10.9383j),(15.110700000000001-11.795200000000001j),(15.6218-12.654000000000002j),(15.9277-13.189800000000002j),(16.153800000000004-13.336100000000002j),(16.2621-13.1803j),(16.440700000000003-13.170800000000002j),(16.3951-12.9067j)
8.45,(13.193521285714287-8.341255142857143j),(13.248700000000001-8.2346j),(13.727500000000001-9.0782j),(14.3146-10.320800000000002j),(14.6737-10.900300000000001j),(15.0917-11.764800000000001j),(15.593300000000003-12.667300000000001j),(15.910600000000002-13.159400000000002j),(16.0968-13.2734j),(16.210800000000003-13.125200000000001j),(16.3932-13.094800000000001j),(16.324800000000003-12.842100000000002j)
