Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(10.838717999999998-6.982912199999999j),(10.900120000000001-6.88534j),(11.31746-7.5922j),(11.76252-8.610140000000001j),(12.10286-9.13066j),(12.4201-9.81596j),(12.85284-10.56902j),(13.13004-10.954020000000002j),(13.2825-10.99714j),(13.35796-10.88164j),(13.493480000000002-10.84776j),(13.43804-10.59674j)
8.05,(10.820889200000003-6.958235533333331j),(10.9109-6.8607000000000005j),(11.30976-7.5721799999999995j),(11.8118-8.62554j),(12.1275-9.07984j),(12.481700000000002-9.79594j),(12.87132-10.55208j),(13.13158-10.97404j),(13.299439999999999-11.03718j),(13.404160000000001-10.93092j),(13.542760000000001-10.9032j),(13.475-10.66758j)
8.1,(10.803060400000007-6.9335588666666625j),(10.84006-6.845300000000001j),(11.24816-7.54908j),(11.74866-8.60398j),(12.050500000000001-9.08446j),(12.383140000000001-9.77438j),(12.8051-10.50434j),(13.053040000000001-10.900120000000001j),(13.220900000000002-10.99714j),(13.321000000000002-10.85854j),(13.482700000000001-10.82774j),(13.430340000000001-10.6029j)
8.15,(10.785231599999996-6.908882199999996j),(10.83698-6.8437600000000005j),(11.241999999999999-7.52444j),(11.71786-8.56086j),(12.04434-9.0475j),(12.37082-9.73588j),(12.7743-10.4412j),(13.03148-10.82928j),(13.227060000000002-10.91244j),(13.29636-10.796940000000001j),(13.45652-10.76306j),(13.424180000000002-10.5259j)
8.2,(10.7674028-6.883892400000001j),(10.82312-6.79602j),(11.22198-7.476700000000001j),(11.703999999999999-8.52082j),(12.01354-8.979740000000001j),(12.31384-9.6943j),(12.71424-10.43966j),(12.98682-10.85392j),(13.157760000000001-10.890880000000001j),(13.24862-10.806180000000001j),(13.39184-10.78308j),(13.354880000000001-10.530520000000001j)
8.25,(10.749573999999999-6.8602556j),(10.7954-6.76522j),(11.19426-7.4382j),(11.679359999999999-8.48386j),(11.981200000000001-8.96126j),(12.323080000000001-9.67736j),(12.7204-10.40578j),(12.9899-10.81542j),(13.139280000000001-10.9032j),(13.23168-10.80926j),(13.38106-10.781540000000001j),(13.32562-10.549j)
8.3,(10.736258866666667-6.834338133333333j),(10.76614-6.74212j),(11.17578-7.43666j),(11.6732-8.45306j),(11.97658-8.93816j),(12.31384-9.62346j),(12.7204-10.37036j),(12.979120000000002-10.75382j),(13.17008-10.83698j),(13.254779999999998-10.73842j),(13.421100000000001-10.70916j),(13.384140000000002-10.472j)
8.35,(10.721392-6.810276000000001j),(10.781540000000001-6.7359599999999995j),(11.17578-7.41972j),(11.65164-8.44228j),(11.953479999999999-8.91968j),(12.27534-9.57726j),(12.678820000000002-10.30722j),(12.9206-10.736880000000001j),(13.1208-10.8185j),(13.21012-10.68452j),(13.37182-10.66142j),(13.348719999999998-10.44736j)
8.4,(10.7080358-6.786586400000001j),(10.7723-6.668200000000001j),(11.15576-7.34734j),(11.62238-8.38068j),(11.93654-8.865779999999999j),(12.247620000000001-9.56032j),(12.66188-10.256400000000001j),(12.909819999999998-10.69068j),(13.09308-10.80926j),(13.18086-10.68298j),(13.32562-10.67528j),(13.28866-10.46122j)
8.45,(10.6936962-6.7608068j),(10.73842-6.674359999999999j),(11.1265-7.3581199999999995j),(11.60236-8.36528j),(11.89342-8.83498j),(12.23222-9.535680000000001j),(12.63878-10.26718j),(12.89596-10.66604j),(13.04688-10.75844j),(13.139280000000001-10.63832j),(13.28712-10.61368j),(13.23168-10.40886j)
