Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(12.527868857142854-8.071158257142855j),(12.598840000000001-7.95838j),(13.08122-8.7754j),(13.59564-9.95198j),(13.98902-10.55362j),(14.355699999999999-11.34572j),(14.85588-12.216140000000001j),(15.17628-12.661140000000001j),(15.352500000000001-12.710980000000001j),(15.43972-12.57748j),(15.59636-12.538319999999999j),(15.532280000000002-12.248180000000001j)
8.05,(12.507261542857146-8.042635876190474j),(12.6113-7.9299j),(13.072320000000001-8.75226j),(13.6526-9.96978j),(14.0175-10.49488j),(14.426900000000002-11.32258j),(14.87724-12.196560000000002j),(15.178059999999999-12.684280000000001j),(15.372079999999999-12.75726j),(15.493120000000001-12.63444j),(15.65332-12.602400000000001j),(15.575000000000001-12.33006j)
8.1,(12.486654228571437-8.01411349523809j),(12.52942-7.912100000000001j),(13.00112-8.72556j),(13.57962-9.94486j),(13.9285-10.50022j),(14.312980000000001-11.29766j),(14.800699999999999-12.14138j),(15.087280000000002-12.598840000000001j),(15.281300000000002-12.710980000000001j),(15.397-12.55078j),(15.583900000000002-12.515179999999999j),(15.52338-12.2553j)
8.15,(12.466046914285709-7.98559111428571j),(12.52586-7.9103200000000005j),(12.994-8.69708j),(13.54402-9.89502j),(13.92138-10.4575j),(14.298739999999999-11.253160000000001j),(14.7651-12.0684j),(15.06236-12.516960000000001j),(15.28842-12.61308j),(15.36852-12.47958j),(15.55364-12.44042j),(15.51626-12.1663j)
8.2,(12.4454396-7.9567068j),(12.509839999999999-7.8551400000000005j),(12.97086-8.641900000000001j),(13.527999999999999-9.848740000000001j),(13.88578-10.379180000000002j),(14.232880000000002-11.2051j),(14.695680000000001-12.06662j),(15.01074-12.545440000000001j),(15.20832-12.58816j),(15.31334-12.490260000000001j),(15.47888-12.46356j),(15.436160000000001-12.17164j)
8.25,(12.424832285714285-7.929386342857143j),(12.4778-7.81954j),(12.93882-8.5974j),(13.49952-9.80602j),(13.8484-10.35782j),(14.243560000000002-11.18552j),(14.7028-12.02746j),(15.0143-12.50094j),(15.186960000000001-12.602400000000001j),(15.29376-12.493820000000001j),(15.466420000000001-12.461780000000001j),(15.40234-12.193j)
8.3,(12.409442066666667-7.89942979047619j),(12.44398-7.79284j),(12.91746-8.59562j),(13.4924-9.77042j),(13.843060000000001-10.33112j),(14.232880000000002-11.12322j),(14.7028-11.98652j),(15.001840000000001-12.429739999999999j),(15.22256-12.52586j),(15.320459999999999-12.41194j),(15.5127-12.37812j),(15.469980000000001-12.104j)
8.35,(12.392258285714286-7.871617714285715j),(12.461780000000001-7.7857199999999995j),(12.91746-8.576039999999999j),(13.46748-9.75796j),(13.81636-10.30976j),(14.18838-11.06982j),(14.65474-11.91354j),(14.9342-12.410160000000001j),(15.1656-12.5045j),(15.268839999999999-12.349639999999999j),(15.45574-12.322940000000001j),(15.429039999999999-12.07552j)
8.4,(12.3768206-7.84423622857143j),(12.4511-7.7074j),(12.89432-8.49238j),(13.43366-9.68676j),(13.79678-10.24746j),(14.15634-11.05024j),(14.635159999999999-11.854800000000001j),(14.921739999999998-12.356760000000001j),(15.133560000000001-12.493820000000001j),(15.235019999999999-12.34786j),(15.40234-12.33896j),(15.35962-12.09154j)
8.45,(12.360246257142858-7.814439028571429j),(12.41194-7.714519999999999j),(12.8605-8.50484j),(13.41052-9.66896j),(13.74694-10.21186j),(14.138539999999999-11.02176j),(14.608460000000001-11.86726j),(14.90572-12.328280000000001j),(15.08016-12.43508j),(15.186960000000001-12.296240000000001j),(15.357840000000001-12.26776j),(15.29376-12.031020000000002j)
