Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(4.715546142857142-3.0380202428571423j),(4.742260000000001-2.9955700000000003j),(4.923830000000001-3.3031j),(5.11746-3.7459700000000002j),(5.26553-3.9724300000000006j),(5.40355-4.27058j),(5.59182-4.598210000000001j),(5.71242-4.76571j),(5.7787500000000005-4.784470000000001j),(5.81158-4.7342200000000005j),(5.870540000000001-4.71948j),(5.846420000000001-4.610270000000001j)
8.05,(4.707789457142859-3.027284290476189j),(4.74695-2.9848500000000002j),(4.92048-3.29439j),(5.1389000000000005-3.75267j),(5.27625-3.95032j),(5.430350000000001-4.26187j),(5.5998600000000005-4.590840000000001j),(5.71309-4.77442j),(5.7861199999999995-4.80189j),(5.83168-4.75566j),(5.891980000000001-4.743600000000001j),(5.862500000000001-4.64109j)
8.1,(4.700032771428575-3.0165483380952365j),(4.71613-2.9781500000000003j),(4.893680000000001-3.2843400000000003j),(5.11143-3.74329j),(5.24275-3.9523300000000003j),(5.38747-4.252490000000001j),(5.57105-4.57007j),(5.678920000000001-4.742260000000001j),(5.751950000000001-4.784470000000001j),(5.7955000000000005-4.72417j),(5.865850000000001-4.71077j),(5.84307-4.6129500000000005j)
8.15,(4.692276085714284-3.005812385714284j),(4.71479-2.9774800000000003j),(4.891-3.27362j),(5.0980300000000005-3.72453j),(5.24007-3.9362500000000002j),(5.38211-4.235740000000001j),(5.557650000000001-4.5426j),(5.6695400000000005-4.7114400000000005j),(5.754630000000001-4.74762j),(5.7847800000000005-4.69737j),(5.85446-4.6826300000000005j),(5.840390000000001-4.5794500000000005j)
8.2,(4.6845194-2.9949402000000003j),(4.70876-2.95671j),(4.88229-3.2528500000000005j),(5.092-3.7071100000000006j),(5.22667-3.9067700000000003j),(5.3573200000000005-4.21765j),(5.53152-4.54193j),(5.650110000000001-4.722160000000001j),(5.724480000000001-4.73824j),(5.76401-4.701390000000001j),(5.82632-4.69134j),(5.810240000000001-4.581460000000001j)
8.25,(4.676762714285714-2.984656657142857j),(4.6967-2.94331j),(4.87023-3.2361000000000004j),(5.0812800000000005-3.6910300000000005j),(5.2126-3.89873j),(5.361340000000001-4.21028j),(5.5342-4.52719j),(5.6514500000000005-4.70541j),(5.71644-4.743600000000001j),(5.756640000000001-4.702730000000001j),(5.821630000000001-4.690670000000001j),(5.797510000000001-4.5895j)
8.3,(4.6709697666666665-2.9733808761904763j),(4.68397-2.93326j),(4.86219-3.23543j),(5.078600000000001-3.67763j),(5.210590000000001-3.8886800000000004j),(5.3573200000000005-4.18683j),(5.5342-4.51178j),(5.6467600000000004-4.67861j),(5.72984-4.71479j),(5.76669-4.6719100000000005j),(5.83905-4.65918j),(5.822970000000001-4.556j)
8.35,(4.664501714285715-2.962912285714286j),(4.690670000000001-2.93058j),(4.86219-3.22806j),(5.0692200000000005-3.6729400000000005j),(5.20054-3.88064j),(5.3405700000000005-4.16673j),(5.51611-4.48431j),(5.621300000000001-4.671240000000001j),(5.7084-4.70675j),(5.74726-4.64846j),(5.81761-4.63841j),(5.80756-4.54528j)
8.4,(4.6586909-2.952605771428572j),(4.68665-2.9011j),(4.85348-3.19657j),(5.05649-3.6461400000000004j),(5.19317-3.85719j),(5.3285100000000005-4.15936j),(5.50874-4.4622j),(5.61661-4.651140000000001j),(5.696340000000001-4.702730000000001j),(5.7345299999999995-4.6477900000000005j),(5.797510000000001-4.64444j),(5.78143-4.55131j)
8.45,(4.6524522428571435-2.941389971428572j),(4.6719100000000005-2.90378j),(4.84075-3.20126j),(5.04778-3.6394400000000005j),(5.17441-3.8437900000000003j),(5.32181-4.14864j),(5.498690000000001-4.46689j),(5.610580000000001-4.640420000000001j),(5.67624-4.68062j),(5.71644-4.628360000000001j),(5.780760000000001-4.617640000000001j),(5.756640000000001-4.528530000000001j)
