Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(6.263934428571427-4.0355791285714275j),(6.2994200000000005-3.97919j),(6.54061-4.3877j),(6.79782-4.97599j),(6.99451-5.27681j),(7.177849999999999-5.67286j),(7.42794-6.1080700000000006j),(7.58814-6.330570000000001j),(7.6762500000000005-6.3554900000000005j),(7.71986-6.28874j),(7.79818-6.269159999999999j),(7.766140000000001-6.124090000000001j)
8.05,(6.253630771428573-4.021317938095237j),(6.30565-3.96495j),(6.536160000000001-4.37613j),(6.8263-4.98489j),(7.00875-5.24744j),(7.213450000000001-5.66129j),(7.43862-6.098280000000001j),(7.589029999999999-6.3421400000000006j),(7.686039999999999-6.37863j),(7.746560000000001-6.31722j),(7.82666-6.301200000000001j),(7.7875000000000005-6.16503j)
8.1,(6.2433271142857185-4.007056747619045j),(6.26471-3.9560500000000003j),(6.50056-4.36278j),(6.78981-4.97243j),(6.96425-5.25011j),(7.156490000000001-5.64883j),(7.4003499999999995-6.07069j),(7.543640000000001-6.2994200000000005j),(7.640650000000001-6.3554900000000005j),(7.6985-6.27539j),(7.791950000000001-6.2575899999999995j),(7.76169-6.12765j)
8.15,(6.233023457142854-3.992795557142855j),(6.26293-3.9551600000000002j),(6.497-4.34854j),(6.77201-4.94751j),(6.96069-5.22875j),(7.149369999999999-5.626580000000001j),(7.38255-6.0342j),(7.53118-6.2584800000000005j),(7.64421-6.30654j),(7.68426-6.23979j),(7.77682-6.22021j),(7.75813-6.08315j)
8.2,(6.2227198-3.9783534j),(6.254919999999999-3.9275700000000002j),(6.48543-4.320950000000001j),(6.763999999999999-4.924370000000001j),(6.94289-5.189590000000001j),(7.116440000000001-5.60255j),(7.347840000000001-6.03331j),(7.50537-6.2727200000000005j),(7.60416-6.29408j),(7.65667-6.2451300000000005j),(7.73944-6.23178j),(7.7180800000000005-6.08582j)
8.25,(6.212416142857142-3.9646931714285714j),(6.2389-3.90977j),(6.46941-4.2987j),(6.74976-4.90301j),(6.9242-5.17891j),(7.121780000000001-5.59276j),(7.3514-6.01373j),(7.50715-6.25047j),(7.5934800000000005-6.301200000000001j),(7.64688-6.246910000000001j),(7.733210000000001-6.2308900000000005j),(7.70117-6.0965j)
8.3,(6.204721033333334-3.949714895238095j),(6.22199-3.89642j),(6.45873-4.29781j),(6.7462-4.88521j),(6.921530000000001-5.16556j),(7.116440000000001-5.56161j),(7.3514-5.99326j),(7.500920000000001-6.2148699999999995j),(7.61128-6.26293j),(7.660229999999999-6.20597j),(7.75635-6.18906j),(7.734990000000001-6.052j)
8.35,(6.196129142857143-3.9358088571428573j),(6.2308900000000005-3.8928599999999998j),(6.45873-4.2880199999999995j),(6.73374-4.87898j),(6.90818-5.15488j),(7.09419-5.53491j),(7.32737-5.95677j),(7.4671-6.205080000000001j),(7.5828-6.25225j),(7.6344199999999995-6.1748199999999995j),(7.72787-6.1614700000000004j),(7.714519999999999-6.03776j)
8.4,(6.1884103-3.922118114285715j),(6.22555-3.8537j),(6.44716-4.24619j),(6.71683-4.84338j),(6.89839-5.12373j),(7.07817-5.52512j),(7.3175799999999995-5.9274000000000004j),(7.460869999999999-6.178380000000001j),(7.5667800000000005-6.246910000000001j),(7.617509999999999-6.17393j),(7.70117-6.16948j),(7.67981-6.04577j)
8.45,(6.180123128571429-3.9072195142857145j),(6.20597-3.8572599999999997j),(6.43025-4.25242j),(6.70526-4.83448j),(6.87347-5.10593j),(7.0692699999999995-5.51088j),(7.3042300000000004-5.93363j),(7.45286-6.164140000000001j),(7.54008-6.21754j),(7.5934800000000005-6.1481200000000005j),(7.678920000000001-6.13388j),(7.64688-6.015510000000001j)
