Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(5.841646714285713-3.7635176142857136j),(5.874740000000001-3.7109300000000003j),(6.099670000000001-4.0919j),(6.33954-4.640530000000001j),(6.522970000000001-4.92107j),(6.69395-5.29042j),(6.927180000000001-5.696290000000001j),(7.076580000000001-5.903790000000001j),(7.15875-5.92703j),(7.19942-5.8647800000000005j),(7.272460000000001-5.84652j),(7.242580000000001-5.7112300000000005j)
8.05,(5.832037685714288-3.7502178523809513j),(5.88055-3.6976500000000003j),(6.0955200000000005-4.08111j),(6.3661-4.64883j),(6.536250000000001-4.893680000000001j),(6.727150000000001-5.27963j),(6.937140000000001-5.68716j),(7.07741-5.914580000000001j),(7.16788-5.94861j),(7.224320000000001-5.8913400000000005j),(7.299020000000001-5.8764j),(7.262500000000001-5.74941j)
8.1,(5.822428657142861-3.7369180904761885j),(5.84237-3.6893500000000006j),(6.062320000000001-4.06866j),(6.33207-4.6372100000000005j),(6.494750000000001-4.896170000000001j),(6.674030000000001-5.268010000000001j),(6.9014500000000005-5.66143j),(7.0350800000000016-5.874740000000001j),(7.125550000000001-5.92703j),(7.179500000000001-5.85233j),(7.266650000000001-5.83573j),(7.238430000000001-5.71455j)
8.15,(5.812819628571427-3.7236183285714266j),(5.8407100000000005-3.6885200000000005j),(6.059-4.05538j),(6.31547-4.61397j),(6.49143-4.876250000000001j),(6.66739-5.247260000000001j),(6.88485-5.627400000000001j),(7.02346-5.83656j),(7.128870000000001-5.881380000000001j),(7.166220000000001-5.81913j),(7.252540000000001-5.800870000000001j),(7.2351100000000015-5.673050000000001j)
8.2,(5.8032106-3.7101498000000004j),(5.83324-3.6627900000000007j),(6.04821-4.029650000000001j),(6.308-4.592390000000001j),(6.474830000000001-4.83973j),(6.636680000000001-5.22485j),(6.852480000000001-5.62657j),(6.999390000000001-5.84984j),(7.091520000000001-5.86976j),(7.140490000000001-5.824110000000001j),(7.2176800000000005-5.811660000000001j),(7.1977600000000015-5.675540000000001j)
8.25,(5.793601571428572-3.697410485714286j),(5.818300000000001-3.6461900000000003j),(6.033270000000001-4.008900000000001j),(6.29472-4.572470000000001j),(6.457400000000001-4.829770000000001j),(6.641660000000001-5.21572j),(6.8558-5.60831j),(7.001050000000001-5.82909j),(7.0815600000000005-5.8764j),(7.131360000000001-5.82577j),(7.21187-5.810830000000001j),(7.181990000000001-5.6855j)
8.3,(5.7864252333333335-3.683441980952381j),(5.80253-3.6337400000000004j),(6.02331-4.00807j),(6.2914-4.5558700000000005j),(6.454910000000001-4.8173200000000005j),(6.636680000000001-5.18667j),(6.8558-5.58922j),(6.995240000000002-5.79589j),(7.09816-5.8407100000000005j),(7.14381-5.787590000000001j),(7.23345-5.77182j),(7.213530000000001-5.644j)
8.35,(5.7784125714285715-3.670473428571429j),(5.810830000000001-3.63042j),(6.02331-3.99894j),(6.279780000000001-4.55006j),(6.4424600000000005-4.80736j),(6.6159300000000005-5.161770000000001j),(6.833390000000001-5.5551900000000005j),(6.963700000000001-5.786760000000001j),(7.0716-5.830750000000001j),(7.11974-5.75854j),(7.2068900000000005-5.746090000000001j),(7.19444-5.63072j)
8.4,(5.771214100000001-3.657705657142858j),(5.80585-3.5939000000000005j),(6.01252-3.9599300000000004j),(6.26401-4.51686j),(6.433330000000001-4.77831j),(6.600990000000001-5.152640000000001j),(6.82426-5.527800000000001j),(6.95789-5.76186j),(7.056660000000001-5.82577j),(7.10397-5.75771j),(7.181990000000001-5.753560000000001j),(7.16207-5.638190000000001j)
8.45,(5.763485614285715-3.6438114571428577j),(5.787590000000001-3.59722j),(5.9967500000000005-3.96574j),(6.253220000000001-4.508560000000001j),(6.41009-4.761710000000001j),(6.59269-5.139360000000001j),(6.811810000000001-5.53361j),(6.950420000000001-5.7485800000000005j),(7.03176-5.79838j),(7.0815600000000005-5.733640000000001j),(7.16124-5.720360000000001j),(7.131360000000001-5.609970000000001j)
