Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(13.231681714285711-8.524594114285712j),(13.306640000000002-8.40548j),(13.816120000000002-9.2684j),(14.359440000000001-10.511080000000002j),(14.774920000000002-11.14652j),(15.1622-11.98312j),(15.69048-12.902440000000002j),(16.02888-13.372440000000001j),(16.215-13.425080000000001j),(16.30712-13.284080000000001j),(16.47256-13.24272j),(16.404880000000002-12.936280000000002j)
8.05,(13.20991668571429-8.49446935238095j),(13.3198-8.3754j),(13.806720000000002-9.24396j),(14.4196-10.52988j),(14.805000000000001-11.084480000000001j),(15.237400000000001-11.958680000000001j),(15.713040000000001-12.881760000000002j),(16.03076-13.396880000000001j),(16.23568-13.47396j),(16.36352-13.344240000000001j),(16.53272-13.310400000000001j),(16.45-13.02276j)
8.1,(13.188151657142866-8.464344590476186j),(13.23332-8.3566j),(13.731520000000002-9.215760000000001j),(14.34252-10.50356j),(14.711000000000002-11.09012j),(15.117080000000001-11.932360000000001j),(15.6322-12.82348j),(15.934880000000003-13.306640000000002j),(16.1398-13.425080000000001j),(16.262-13.255880000000001j),(16.459400000000002-13.21828j),(16.395480000000003-12.9438j)
8.15,(13.166386628571424-8.434219828571424j),(13.229560000000001-8.35472j),(13.724-9.185680000000001j),(14.304920000000001-10.450920000000002j),(14.70348-11.045j),(15.10204-11.88536j),(15.594600000000002-12.746400000000001j),(15.908560000000001-13.220160000000002j),(16.14732-13.32168j),(16.231920000000002-13.18068j),(16.42744-13.139320000000001j),(16.387960000000003-12.8498j)
8.2,(13.1446216-8.403712800000001j),(13.21264-8.29644j),(13.69956-9.127400000000002j),(14.288-10.402040000000001j),(14.665880000000001-10.962280000000002j),(15.032480000000001-11.8346j),(15.52128-12.744520000000001j),(15.854040000000001-13.250240000000002j),(16.062720000000002-13.29536j),(16.17364-13.191960000000002j),(16.348480000000002-13.16376j),(16.30336-12.855440000000002j)
8.25,(13.12285657142857-8.374857485714287j),(13.1788-8.25884j),(13.66572-9.080400000000001j),(14.25792-10.35692j),(14.626400000000002-10.939720000000001j),(15.043760000000002-11.81392j),(15.5288-12.70316j),(15.857800000000003-13.203240000000001j),(16.04016-13.310400000000001j),(16.15296-13.195720000000001j),(16.33532-13.161880000000002j),(16.267640000000004-12.878j)
8.3,(13.106601733333335-8.343217980952382j),(13.14308-8.230640000000001j),(13.64316-9.07852j),(14.2504-10.319320000000001j),(14.62076-10.911520000000001j),(15.032480000000001-11.74812j),(15.5288-12.659920000000001j),(15.844640000000002-13.12804j),(16.07776-13.229560000000001j),(16.18116-13.10924j),(16.3842-13.07352j),(16.339080000000003-12.784j)
8.35,(13.088452571428572-8.31384342857143j),(13.161880000000002-8.22312j),(13.64316-9.05784j),(14.22408-10.30616j),(14.59256-10.88896j),(14.98548-11.691720000000002j),(15.478040000000002-12.582840000000001j),(15.773200000000003-13.107360000000002j),(16.0176-13.207j),(16.12664-13.04344j),(16.32404-13.01524j),(16.29584-12.75392j)
8.4,(13.072147600000001-8.284923657142858j),(13.1506-8.140400000000001j),(13.61872-8.96948j),(14.188360000000001-10.230960000000001j),(14.571880000000002-10.82316j),(14.951640000000001-11.671040000000001j),(15.45736-12.520800000000001j),(15.76004-13.050960000000002j),(15.983760000000002-13.195720000000001j),(16.09092-13.04156j),(16.267640000000004-13.032160000000001j),(16.22252-12.770840000000002j)
8.45,(13.054642114285715-8.253452457142858j),(13.10924-8.14792j),(13.583-8.98264j),(14.163920000000001-10.21216j),(14.51924-10.78556j),(14.93284-11.640960000000002j),(15.429160000000003-12.53396j),(15.743120000000003-13.020880000000002j),(15.92736-13.13368j),(16.04016-12.987040000000002j),(16.22064-12.956960000000002j),(16.15296-12.706920000000002j)
