Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(12.246343714285711-7.8897839142857125j),(12.31572-7.77954j),(12.78726-8.578199999999999j),(13.29012-9.728340000000001j),(13.67466-10.316460000000001j),(14.0331-11.09076j),(14.52204-11.94162j),(14.835239999999999-12.37662j),(15.0075-12.42534j),(15.092759999999998-12.294839999999999j),(15.245880000000001-12.256559999999999j),(15.183240000000001-11.97294j)
8.05,(12.22619948571429-7.861902485714283j),(12.3279-7.7517000000000005j),(12.77856-8.555579999999999j),(13.3458-9.74574j),(13.7025-10.25904j),(14.1027-11.06814j),(14.54292-11.92248j),(14.836979999999999-12.39924j),(15.026639999999999-12.47058j),(15.144960000000001-12.35052j),(15.30156-12.3192j),(15.225-12.05298j)
8.1,(12.206055257142864-7.834021057142852j),(12.24786-7.7343j),(12.708960000000001-8.52948j),(13.27446-9.72138j),(13.6155-10.26426j),(13.991340000000001-11.04378j),(14.4681-11.86854j),(14.748240000000001-12.31572j),(14.9379-12.42534j),(15.051-12.268740000000001j),(15.2337-12.233939999999999j),(15.17454-11.979899999999999j)
8.15,(12.185911028571423-7.806139628571424j),(12.24438-7.732559999999999j),(12.702-8.50164j),(13.23966-9.67266j),(13.60854-10.2225j),(13.977419999999999-11.00028j),(14.4333-11.7972j),(14.72388-12.23568j),(14.94486-12.329640000000001j),(15.02316-12.19914j),(15.20412-12.16086j),(15.167580000000001-11.8929j)
8.2,(12.1657668-7.777904400000001j),(12.22872-7.6786200000000004j),(12.67938-8.447700000000001j),(13.224-9.62742j),(13.57374-10.145940000000001j),(13.91304-10.9533j),(14.36544-11.79546j),(14.67342-12.26352j),(14.866560000000002-12.30528j),(14.96922-12.20958j),(15.131039999999999-12.18348j),(15.08928-11.89812j)
8.25,(12.145622571428571-7.751197885714286j),(12.1974-7.64382j),(12.648060000000001-8.4042j),(13.196159999999999-9.58566j),(13.5372-10.12506j),(13.923480000000001-10.93416j),(14.372399999999999-11.75718j),(14.676900000000002-12.22002j),(14.84568-12.3192j),(14.950080000000002-12.21306j),(15.11886-12.181740000000001j),(15.056220000000001-11.918999999999999j)
8.3,(12.1305782-7.7219145142857135j),(12.16434-7.61772j),(12.62718-8.40246j),(13.1892-9.55086j),(13.53198-10.09896j),(13.91304-10.87326j),(14.372399999999999-11.71716j),(14.66472-12.150419999999999j),(14.880479999999999-12.24438j),(14.97618-12.13302j),(15.1641-12.09996j),(15.122340000000001-11.831999999999999j)
8.35,(12.11378057142857-7.694727428571429j),(12.181740000000001-7.610759999999999j),(12.62718-8.38332j),(13.16484-9.538680000000001j),(13.50588-10.07808j),(13.86954-10.821060000000001j),(14.325420000000001-11.645819999999999j),(14.598600000000001-12.13128j),(14.8248-12.223500000000001j),(14.925719999999998-12.07212j),(15.108419999999999-12.04602j),(15.08232-11.80416j)
8.4,(12.098689799999999-7.667961257142858j),(12.1713-7.5342j),(12.60456-8.30154j),(13.13178-9.46908j),(13.486740000000001-10.01718j),(13.83822-10.80192j),(14.30628-11.5884j),(14.586419999999999-12.07908j),(14.79348-12.21306j),(14.89266-12.07038j),(15.056220000000001-12.06168j),(15.01446-11.81982j)
8.45,(12.082487914285714-7.6388336571428574j),(12.13302-7.54116j),(12.571499999999999-8.31372j),(13.10916-9.451680000000001j),(13.43802-9.982380000000001j),(13.82082-10.77408j),(14.280180000000001-11.600579999999999j),(14.570760000000002-12.05124j),(14.74128-12.15564j),(14.84568-12.01992j),(15.01272-11.992080000000001j),(14.950080000000002-11.76066j)
8.5,(12.0683964-7.608575057142856j),(12.1104-7.51506j),(12.54366-8.280660000000001j),(13.088280000000001-9.43776j),(13.41018-9.966719999999999j),(13.80342-10.72536j),(14.24364-11.54142j),(14.518559999999999-11.999039999999999j),(14.72214-12.098220000000001j),(14.82306-11.9625j),(15.00576-11.94858j),(14.97618-11.706719999999999j)
8.55,(12.0490186-7.5750088j),(12.1104-7.475040000000001j),(12.541920000000001-8.21454j),(13.076099999999999-9.359459999999999j),(13.41714-9.90408j),(13.7721-10.650540000000001j),(14.227979999999999-11.47182j),(14.49942-11.92074j),(14.72214-12.03558j),(14.819579999999998-11.92248j),(15.01272-11.9103j),(14.988360000000002-11.6667j)
8.6,(12.03328817142857-7.540629714285714j),(12.11214-7.43502j),(12.538440000000001-8.18496j),(13.05522-9.32988j),(13.40844-9.87102j),(13.75818-10.63662j),(14.196660000000001-11.47704j),(14.485499999999998-11.94684j),(14.682120000000001-12.05994j),(14.783040000000002-11.9538j),(14.94486-11.957279999999999j),(14.90658-11.72064j)
8.65,(12.013263257142857-7.510598142857145j),(12.06864-7.417619999999999j),(12.5019-8.17104j),(13.03782-9.333359999999999j),(13.35798-9.85188j),(13.74426-10.631400000000001j),(14.19144-11.46486j),(14.492460000000001-11.927700000000002j),(14.654280000000002-12.01296j),(14.774339999999999-11.92248j),(14.932680000000001-11.89116j),(14.887439999999998-11.63886j)
8.7,(11.99526502857143-7.482771399999999j),(12.03558-7.41936j),(12.458400000000001-8.16408j),(13.00302-9.31074j),(13.31622-9.853620000000001j),(13.70772-10.5966j),(14.13402-11.39526j),(14.431560000000001-11.85636j),(14.624699999999999-11.96424j),(14.73954-11.8059j),(14.92224-11.80764j),(14.89962-11.57448j)
8.75,(11.983990657142858-7.461090171428572j),(12.04254-7.36716j),(12.460139999999999-8.1171j),(12.99606-9.25854j),(13.30926-9.799679999999999j),(13.67292-10.53222j),(14.1114-11.33262j),(14.3898-11.7798j),(14.59686-11.915519999999999j),(14.699520000000001-11.77806j),(14.89092-11.78502j),(14.875259999999999-11.54838j)
8.8,(11.970449314285714-7.430016257142857j),(12.01122-7.34454j),(12.4323-8.08404j),(12.9456-9.20286j),(13.279679999999999-9.73704j),(13.6329-10.48524j),(14.060939999999999-11.29608j),(14.3376-11.76936j),(14.548140000000002-11.89116j),(14.647319999999999-11.809379999999999j),(14.84046-11.7885j),(14.82306-11.562299999999999j)
8.85,(11.952412142857144-7.406894971428574j),(11.98686-7.29408j),(12.400979999999999-8.0388j),(12.92472-9.17502j),(13.24662-9.690059999999999j),(13.61898-10.45044j),(14.04702-11.2752j),(14.349779999999999-11.771099999999999j),(14.5203-11.87898j),(14.622959999999999-11.77632j),(14.810880000000001-11.7798j),(14.79348-11.57274j)
8.9,(11.938372000000003-7.382976599999999j),(11.9973-7.27146j),(12.418379999999999-8.02488j),(12.93864-9.17502j),(13.24836-9.663960000000001j),(13.634640000000001-10.45392j),(14.06442-11.283900000000001j),(14.318459999999998-11.77632j),(14.501159999999999-11.89116j),(14.622959999999999-11.790239999999999j),(14.79348-11.80242j),(14.781299999999998-11.59362j)
8.95,(11.924331857142857-7.358547j),(11.96772-7.27494j),(12.36966-8.00922j),(12.88296-9.135j),(13.196159999999999-9.644820000000001j),(13.56156-10.38606j),(13.99656-11.2056j),(14.27844-11.67192j),(14.485499999999998-11.78676j),(14.621220000000001-11.67018j),(14.80044-11.68584j),(14.79522-11.46834j)
9.0,(11.902836228571427-7.3332432571428585j),(11.96424-7.23666j),(12.374880000000001-7.967459999999999j),(12.88992-9.08628j),(13.2066-9.6135j),(13.55982-10.34952j),(13.9809-11.160359999999999j),(14.266259999999999-11.63886j),(14.46114-11.76588j),(14.563799999999999-11.66148j),(14.72388-11.6928j),(14.699520000000001-11.4666j)
9.05,(11.88703785714286-7.304306228571429j),(11.92074-7.212299999999999j),(12.33834-7.937880000000001j),(12.86034-9.0567j),(13.16658-9.564779999999999j),(13.52502-10.32168j),(13.93044-11.14818j),(14.22624-11.6145j),(14.41416-11.71368j),(14.52204-11.63364j),(14.69604-11.62146j),(14.675159999999998-11.38308j)
