Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(7.03812857142857-4.53435857142857j),(7.078-4.471j),(7.349-4.93j),(7.638-5.591j),(7.859-5.929j),(8.065-6.374j),(8.346-6.863j),(8.526-7.113j),(8.625-7.141j),(8.674-7.066j),(8.762-7.044j),(8.726-6.881j)
8.05,(7.02655142857143-4.51833476190476j),(7.085-4.455j),(7.344-4.917j),(7.67-5.601j),(7.875-5.896j),(8.105-6.361j),(8.358-6.852j),(8.527-7.126j),(8.636-7.167j),(8.704-7.098j),(8.794-7.08j),(8.75-6.927j)
8.1,(7.01497428571429-4.50231095238095j),(7.039-4.445j),(7.304-4.902j),(7.629-5.587j),(7.825-5.899j),(8.041-6.347j),(8.315-6.821j),(8.476-7.078j),(8.585-7.141j),(8.65-7.051j),(8.755-7.031j),(8.721-6.885j)
8.15,(7.00339714285714-4.48628714285714j),(7.037-4.444j),(7.3-4.886j),(7.609-5.559j),(7.821-5.875j),(8.033-6.322j),(8.295-6.78j),(8.462-7.032j),(8.589-7.086j),(8.634-7.011j),(8.738-6.989j),(8.717-6.835j)
8.2,(6.99182-4.47006j),(7.028-4.413j),(7.287-4.855j),(7.6-5.533j),(7.801-5.831j),(7.996-6.295j),(8.256-6.779j),(8.433-7.048j),(8.544-7.072j),(8.603-7.017j),(8.696-7.002j),(8.672-6.838j)
8.25,(6.980242857142857-4.454711428571429j),(7.01-4.393j),(7.269-4.83j),(7.584-5.509j),(7.78-5.819j),(8.002-6.284j),(8.26-6.757j),(8.435-7.023j),(8.532-7.08j),(8.592-7.019j),(8.689-7.001j),(8.653-6.85j)
8.3,(6.971596666666667-4.4378819047619045j),(6.991-4.378j),(7.257-4.829j),(7.58-5.489j),(7.777-5.804j),(7.996-6.249j),(8.26-6.734j),(8.428-6.983j),(8.552-7.037j),(8.607-6.973j),(8.715-6.954j),(8.691-6.8j)
8.35,(6.961942857142857-4.422257142857143j),(7.001-4.374j),(7.257-4.818j),(7.566-5.482j),(7.762-5.792j),(7.971-6.219j),(8.233-6.693j),(8.39-6.972j),(8.52-7.025j),(8.578-6.938j),(8.683-6.923j),(8.668-6.784j)
8.4,(6.95327-4.406874285714286j),(6.995-4.33j),(7.244-4.771j),(7.547-5.442j),(7.751-5.757j),(7.953-6.208j),(8.222-6.66j),(8.383-6.942j),(8.502-7.019j),(8.559-6.937j),(8.653-6.932j),(8.629-6.793j)
8.45,(6.943958571428571-4.390134285714286j),(6.973-4.334j),(7.225-4.778j),(7.534-5.432j),(7.723-5.737j),(7.943-6.192j),(8.207-6.667j),(8.374-6.926j),(8.472-6.986j),(8.532-6.908j),(8.628-6.892j),(8.592-6.759j)
8.5,(6.93586-4.372744285714285j),(6.96-4.319j),(7.209-4.759j),(7.522-5.424j),(7.707-5.728j),(7.933-6.164j),(8.186-6.633j),(8.344-6.896j),(8.461-6.953j),(8.519-6.875j),(8.624-6.867j),(8.607-6.728j)
8.55,(6.924723333333334-4.353453333333333j),(6.96-4.296j),(7.208-4.721j),(7.515-5.379j),(7.711-5.692j),(7.915-6.121j),(8.177-6.593j),(8.333-6.851j),(8.461-6.917j),(8.517-6.852j),(8.628-6.845j),(8.614-6.705j)
8.6,(6.915682857142857-4.333695238095238j),(6.961-4.273j),(7.206-4.704j),(7.503-5.362j),(7.706-5.673j),(7.907-6.113j),(8.159-6.596j),(8.325-6.866j),(8.438-6.931j),(8.496-6.87j),(8.589-6.872j),(8.567-6.736j)
8.65,(6.904174285714285-4.316435714285715j),(6.936-4.263j),(7.185-4.696j),(7.493-5.364j),(7.677-5.662j),(7.899-6.11j),(8.156-6.589j),(8.329-6.855j),(8.422-6.904j),(8.491-6.852j),(8.582-6.834j),(8.556-6.689j)
8.7,(6.893830476190477-4.300443333333333j),(6.917-4.264j),(7.16-4.692j),(7.473-5.351j),(7.653-5.663j),(7.878-6.09j),(8.123-6.549j),(8.294-6.814j),(8.405-6.876j),(8.471-6.785j),(8.576-6.786j),(8.563-6.652j)
8.75,(6.887350952380952-4.2879828571428575j),(6.921-4.234j),(7.161-4.665j),(7.469-5.321j),(7.649-5.632j),(7.858-6.053j),(8.11-6.513j),(8.27-6.77j),(8.389-6.848j),(8.448-6.769j),(8.558-6.773j),(8.549-6.637j)
8.8,(6.879568571428571-4.270124285714286j),(6.903-4.221j),(7.145-4.646j),(7.44-5.289j),(7.632-5.596j),(7.835-6.026j),(8.081-6.492j),(8.24-6.764j),(8.361-6.834j),(8.418-6.787j),(8.529-6.775j),(8.519-6.645j)
8.85,(6.869202380952381-4.256836190476192j),(6.889-4.192j),(7.127-4.62j),(7.428-5.273j),(7.613-5.569j),(7.827-6.006j),(8.073-6.48j),(8.247-6.765j),(8.345-6.827j),(8.404-6.768j),(8.512-6.77j),(8.502-6.651j)
8.9,(6.861133333333335-4.24309j),(6.895-4.179j),(7.137-4.612j),(7.436-5.273j),(7.614-5.554j),(7.836-6.008j),(8.083-6.485j),(8.229-6.768j),(8.334-6.834j),(8.404-6.776j),(8.502-6.783j),(8.495-6.663j)
8.95,(6.853064285714286-4.22905j),(6.878-4.181j),(7.109-4.603j),(7.404-5.25j),(7.584-5.543j),(7.794-5.969j),(8.044-6.44j),(8.206-6.708j),(8.325-6.774j),(8.403-6.707j),(8.506-6.716j),(8.503-6.591j)
9.0,(6.840710476190476-4.21450761904762j),(6.876-4.159j),(7.112-4.579j),(7.408-5.222j),(7.59-5.525j),(7.793-5.948j),(8.035-6.414j),(8.199-6.689j),(8.311-6.762j),(8.37-6.702j),(8.462-6.72j),(8.448-6.59j)
9.05,(6.831630952380953-4.197877142857143j),(6.851-4.145j),(7.091-4.562j),(7.391-5.205j),(7.567-5.497j),(7.773-5.932j),(8.006-6.407j),(8.176-6.675j),(8.284-6.732j),(8.346-6.686j),(8.446-6.679j),(8.434-6.542j)
9.1,(6.82067-4.185137142857143j),(6.845-4.128j),(7.077-4.543j),(7.372-5.194j),(7.553-5.487j),(7.761-5.92j),(7.992-6.38j),(8.153-6.655j),(8.253-6.709j),(8.314-6.657j),(8.42-6.654j),(8.409-6.529j)
9.15,(6.814394285714286-4.171322857142857j),(6.848-4.114j),(7.079-4.528j),(7.374-5.171j),(7.551-5.467j),(7.753-5.889j),(7.994-6.345j),(8.148-6.612j),(8.258-6.69j),(8.323-6.629j),(8.423-6.639j),(8.421-6.522j)
9.2,(6.80160380952381-4.155051428571428j),(6.842-4.102j),(7.069-4.514j),(7.357-5.147j),(7.535-5.443j),(7.744-5.873j),(7.981-6.322j),(8.131-6.596j),(8.241-6.665j),(8.315-6.623j),(8.412-6.626j),(8.403-6.508j)
9.25,(6.79089-4.13944j),(6.829-4.088j),(7.063-4.5j),(7.358-5.136j),(7.536-5.437j),(7.739-5.856j),(7.967-6.32j),(8.127-6.609j),(8.224-6.673j),(8.294-6.62j),(8.39-6.638j),(8.378-6.51j)
