Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(4.785927428571427-3.0833638285714278j),(4.81304-3.0402799999999996j),(4.997319999999999-3.3523999999999994j),(5.19384-3.8018799999999997j),(5.344119999999999-4.03172j),(5.4841999999999995-4.334319999999999j),(5.67528-4.66684j),(5.79768-4.83684j),(5.864999999999999-4.85588j),(5.898319999999999-4.80488j),(5.9581599999999995-4.7899199999999995j),(5.93368-4.67908j)
8.05,(4.778054971428572-3.0724676380952367j),(4.817799999999999-3.0294j),(4.99392-3.3435599999999996j),(5.215599999999999-3.80868j),(5.3549999999999995-4.0092799999999995j),(5.5114-4.32548j),(5.68344-4.6593599999999995j),(5.798359999999999-4.84568j),(5.872479999999999-4.8735599999999994j),(5.9187199999999995-4.826639999999999j),(5.97992-4.8144j),(5.949999999999999-4.71036j)
8.1,(4.770182514285716-3.0615714476190456j),(4.786519999999999-3.0225999999999997j),(4.96672-3.33336j),(5.18772-3.7991599999999996j),(5.321-4.0113199999999996j),(5.46788-4.31596j),(5.6541999999999994-4.638279999999999j),(5.76368-4.81304j),(5.8378-4.85588j),(5.882-4.79468j),(5.9534-4.781079999999999j),(5.93028-4.681799999999999j)
8.15,(4.762310057142855-3.050675257142855j),(4.785159999999999-3.0219199999999997j),(4.9639999999999995-3.3224799999999997j),(5.174119999999999-3.7801199999999997j),(5.31828-3.9949999999999997j),(5.462439999999999-4.298959999999999j),(5.640599999999999-4.610399999999999j),(5.75416-4.781759999999999j),(5.84052-4.81848j),(5.8711199999999995-4.76748j),(5.941839999999999-4.75252j),(5.92756-4.647799999999999j)
8.2,(4.754437599999999-3.0396408j),(4.779039999999999-3.0008399999999997j),(4.955159999999999-3.3014j),(5.167999999999999-3.76244j),(5.304679999999999-3.96508j),(5.4372799999999994-4.2806j),(5.6140799999999995-4.609719999999999j),(5.734439999999999-4.79264j),(5.80992-4.80896j),(5.850039999999999-4.77156j),(5.913279999999999-4.76136j),(5.89696-4.649839999999999j)
8.25,(4.7465651428571425-3.029203771428571j),(4.766799999999999-2.9872399999999995j),(4.94292-3.2843999999999998j),(5.157119999999999-3.74612j),(5.2904-3.9569199999999998j),(5.4413599999999995-4.27312j),(5.6168-4.594759999999999j),(5.7358-4.775639999999999j),(5.80176-4.8144j),(5.84256-4.77292j),(5.908519999999999-4.76068j),(5.88404-4.6579999999999995j)
8.3,(4.740685733333333-3.017759695238095j),(4.75388-2.9770399999999997j),(4.934759999999999-3.2837199999999993j),(5.1544-3.7325199999999996j),(5.28836-3.94672j),(5.4372799999999994-4.249319999999999j),(5.6168-4.57912j),(5.73104-4.7484399999999996j),(5.815359999999999-4.785159999999999j),(5.852759999999999-4.741639999999999j),(5.9262-4.728719999999999j),(5.90988-4.624j)
8.35,(4.734121142857142-3.007134857142857j),(4.76068-2.9743199999999996j),(4.934759999999999-3.2762399999999996j),(5.14488-3.72776j),(5.278159999999999-3.9385599999999994j),(5.42028-4.22892j),(5.59844-4.551239999999999j),(5.7052-4.74096j),(5.793599999999999-4.777j),(5.833039999999999-4.71784j),(5.904439999999999-4.70764j),(5.894239999999999-4.613119999999999j)
8.4,(4.7282236-2.9966745142857145j),(4.7566-2.9444j),(4.92592-3.24428j),(5.131959999999999-3.70056j),(5.27068-3.9147599999999994j),(5.40804-4.221439999999999j),(5.590959999999999-4.5287999999999995j),(5.700439999999999-4.72056j),(5.78136-4.77292j),(5.820119999999999-4.71716j),(5.88404-4.71376j),(5.867719999999999-4.61924j)
8.45,(4.721891828571428-2.985291314285714j),(4.741639999999999-2.9471199999999995j),(4.912999999999999-3.2490399999999995j),(5.123119999999999-3.6937599999999997j),(5.251639999999999-3.9011599999999995j),(5.40124-4.21056j),(5.58076-4.53356j),(5.69432-4.70968j),(5.760959999999999-4.75048j),(5.80176-4.697439999999999j),(5.867039999999999-4.68656j),(5.84256-4.59612j)
8.5,(4.716384799999999-2.9734661142857135j),(4.732799999999999-2.9369199999999998j),(4.902119999999999-3.23612j),(5.11496-3.68832j),(5.24076-3.8950399999999994j),(5.3944399999999995-4.19152j),(5.566479999999999-4.51044j),(5.673919999999999-4.689279999999999j),(5.75348-4.72804j),(5.79292-4.675j),(5.86432-4.66956j),(5.852759999999999-4.5750399999999996j)
8.55,(4.708811866666666-2.9603482666666663j),(4.732799999999999-2.92128j),(4.90144-3.2102799999999996j),(5.110199999999999-3.6577199999999994j),(5.24348-3.87056j),(5.382199999999999-4.16228j),(5.560359999999999-4.4832399999999994j),(5.66644-4.6586799999999995j),(5.75348-4.7035599999999995j),(5.791559999999999-4.6593599999999995j),(5.867039999999999-4.654599999999999j),(5.85752-4.559399999999999j)
8.6,(4.702664342857142-2.9469127619047617j),(4.73348-2.9056399999999996j),(4.90008-3.1987199999999993j),(5.10204-3.6461599999999996j),(5.24008-3.8576399999999995j),(5.376759999999999-4.15684j),(5.54812-4.4852799999999995j),(5.660999999999999-4.66888j),(5.73784-4.71308j),(5.77728-4.6716j),(5.84052-4.67296j),(5.825559999999999-4.58048j)
8.65,(4.694838514285713-2.9351762857142862j),(4.71648-2.89884j),(4.8858-3.1932799999999997j),(5.0952399999999995-3.6475199999999997j),(5.2203599999999994-3.85016j),(5.37132-4.1548j),(5.54608-4.48052j),(5.66372-4.6613999999999995j),(5.72696-4.694719999999999j),(5.773879999999999-4.6593599999999995j),(5.83576-4.647119999999999j),(5.818079999999999-4.54852j)
8.7,(4.687804723809524-2.924301466666666j),(4.7035599999999995-2.89952j),(4.868799999999999-3.1905599999999996j),(5.081639999999999-3.6386799999999995j),(5.204039999999999-3.85084j),(5.35704-4.1411999999999995j),(5.523639999999999-4.45332j),(5.63992-4.63352j),(5.715399999999999-4.67568j),(5.76028-4.6137999999999995j),(5.8316799999999995-4.6144799999999995j),(5.82284-4.523359999999999j)
8.75,(4.683398647619047-2.915828342857143j),(4.70628-2.87912j),(4.869479999999999-3.1721999999999997j),(5.07892-3.6182799999999995j),(5.20132-3.8297599999999994j),(5.343439999999999-4.11604j),(5.514799999999999-4.428839999999999j),(5.623599999999999-4.603599999999999j),(5.704519999999999-4.6566399999999994j),(5.7446399999999995-4.602919999999999j),(5.819439999999999-4.605639999999999j),(5.813319999999999-4.513159999999999j)
8.8,(4.6781066285714274-2.903684514285714j),(4.694039999999999-2.8702799999999997j),(4.858599999999999-3.15928j),(5.0592-3.5965199999999995j),(5.18976-3.8052799999999998j),(5.3278-4.0976799999999995j),(5.495079999999999-4.41456j),(5.603199999999999-4.59952j),(5.68548-4.647119999999999j),(5.724239999999999-4.6151599999999995j),(5.79972-4.607j),(5.79292-4.518599999999999j)
8.85,(4.671057619047619-2.89464860952381j),(4.68452-2.8505599999999998j),(4.84636-3.1416j),(5.0510399999999995-3.5856399999999993j),(5.176839999999999-3.78692j),(5.32236-4.08408j),(5.48964-4.4064j),(5.607959999999999-4.600199999999999j),(5.6746-4.642359999999999j),(5.71472-4.602239999999999j),(5.7881599999999995-4.603599999999999j),(5.78136-4.522679999999999j)
8.9,(4.665570666666667-2.8853011999999993j),(4.688599999999999-2.84172j),(4.853159999999999-3.13616j),(5.05648-3.5856399999999993j),(5.1775199999999995-3.7767199999999996j),(5.32848-4.085439999999999j),(5.49644-4.4098j),(5.595719999999999-4.602239999999999j),(5.667119999999999-4.647119999999999j),(5.71472-4.607679999999999j),(5.78136-4.612439999999999j),(5.776599999999999-4.5308399999999995j)
8.95,(4.660083714285714-2.8757539999999997j),(4.67704-2.8430799999999996j),(4.8341199999999995-3.1300399999999997j),(5.034719999999999-3.57j),(5.157119999999999-3.76924j),(5.299919999999999-4.05892j),(5.46992-4.3792j),(5.580079999999999-4.561439999999999j),(5.660999999999999-4.606319999999999j),(5.71404-4.560759999999999j),(5.784079999999999-4.566879999999999j),(5.782039999999999-4.481879999999999j)
9.0,(4.651683123809523-2.865865180952381j),(4.67568-2.8281199999999997j),(4.83616-3.1137199999999994j),(5.03744-3.55096j),(5.161199999999999-3.757j),(5.299239999999999-4.04464j),(5.4638-4.36152j),(5.57532-4.54852j),(5.651479999999999-4.598159999999999j),(5.691599999999999-4.557359999999999j),(5.75416-4.569599999999999j),(5.7446399999999995-4.481199999999999j)
9.05,(4.645509047619048-2.854556457142857j),(4.6586799999999995-2.8185999999999996j),(4.821879999999999-3.10216j),(5.02588-3.5393999999999997j),(5.14556-3.7379599999999997j),(5.285639999999999-4.03376j),(5.44408-4.3567599999999995j),(5.559679999999999-4.539j),(5.63312-4.57776j),(5.67528-4.54648j),(5.7432799999999995-4.54172j),(5.735119999999999-4.44856j)
9.1,(4.6380555999999995-2.845893257142857j),(4.654599999999999-2.8070399999999998j),(4.81236-3.0892399999999998j),(5.01296-3.5319199999999995j),(5.1360399999999995-3.7311599999999996j),(5.27748-4.0256j),(5.434559999999999-4.338399999999999j),(5.54404-4.525399999999999j),(5.6120399999999995-4.562119999999999j),(5.653519999999999-4.5267599999999995j),(5.725599999999999-4.524719999999999j),(5.71812-4.4397199999999994j)
9.15,(4.633788114285714-2.8364995428571427j),(4.6566399999999994-2.7975199999999996j),(4.813719999999999-3.0790399999999996j),(5.01432-3.51628j),(5.1346799999999995-3.7175599999999993j),(5.27204-4.004519999999999j),(5.435919999999999-4.3145999999999995j),(5.540639999999999-4.49616j),(5.615439999999999-4.5492j),(5.65964-4.507719999999999j),(5.727639999999999-4.51452j),(5.726279999999999-4.434959999999999j)
9.2,(4.62509059047619-2.825434971428571j),(4.652559999999999-2.78936j),(4.80692-3.06952j),(5.002759999999999-3.4999599999999997j),(5.123799999999999-3.7012399999999994j),(5.2659199999999995-3.9936399999999996j),(5.427079999999999-4.298959999999999j),(5.5290799999999996-4.4852799999999995j),(5.603879999999999-4.5322j),(5.6541999999999994-4.50364j),(5.72016-4.50568j),(5.71404-4.42544j)
9.25,(4.617805199999999-2.8148191999999996j),(4.643719999999999-2.7798399999999996j),(4.80284-3.0599999999999996j),(5.003439999999999-3.4924799999999996j),(5.124479999999999-3.69716j),(5.262519999999999-3.9820799999999994j),(5.417559999999999-4.2976j),(5.52636-4.49412j),(5.59232-4.53764j),(5.63992-4.5016j),(5.7052-4.513839999999999j),(5.697039999999999-4.426799999999999j)
9.3,(4.613995257142857-2.806746304761905j),(4.63556-2.7642j),(4.79536-3.0457199999999998j),(4.99392-3.4795599999999998j),(5.108159999999999-3.6794799999999994j),(5.25096-3.9711999999999996j),(5.41484-4.27788j),(5.521599999999999-4.471679999999999j),(5.5896-4.513839999999999j),(5.63516-4.4832399999999994j),(5.693639999999999-4.4873199999999995j),(5.697039999999999-4.40572j)
9.35,(4.607939047619047-2.7963708000000005j),(4.62196-2.76896j),(4.772239999999999-3.0443599999999997j),(4.97488-3.47684j),(5.089119999999999-3.6726799999999997j),(5.2326-3.95896j),(5.384919999999999-4.265639999999999j),(5.4855599999999995-4.44788j),(5.563759999999999-4.49752j),(5.6127199999999995-4.4574j),(5.684119999999999-4.460799999999999j),(5.6814-4.379879999999999j)
9.4,(4.600850857142857-2.785398514285715j),(4.62604-2.74924j),(4.78244-3.0287199999999994j),(4.981679999999999-3.4571199999999993j),(5.0918399999999995-3.6488799999999992j),(5.22784-3.9344799999999993j),(5.386959999999999-4.24456j),(5.495079999999999-4.423399999999999j),(5.565799999999999-4.477119999999999j),(5.6134-4.4437999999999995j),(5.68752-4.45264j),(5.686839999999999-4.37104j)
9.45,(4.596282552380952-2.777334685714286j),(4.6144799999999995-2.7363199999999996j),(4.76952-3.00628j),(4.9653599999999996-3.429919999999999j),(5.079599999999999-3.62508j),(5.217639999999999-3.9106799999999997j),(5.378119999999999-4.221439999999999j),(5.48828-4.4098j),(5.563079999999999-4.45944j),(5.61136-4.42952j),(5.682079999999999-4.4397199999999994j),(5.67936-4.36016j)
9.5,(4.589583904761905-2.7665550666666667j),(4.612439999999999-2.7363199999999996j),(4.76544-3.0089999999999995j),(4.96604-3.4339999999999997j),(5.074159999999999-3.6257599999999996j),(5.2223999999999995-3.91612j),(5.376759999999999-4.2268799999999995j),(5.47604-4.41252j),(5.53928-4.460799999999999j),(5.590959999999999-4.428839999999999j),(5.653519999999999-4.43156j),(5.6541999999999994-4.3567599999999995j)
9.55,(4.5826103428571425-2.756865714285714j),(4.6137999999999995-2.7206799999999998j),(4.764759999999999-2.9960799999999996j),(4.9612799999999995-3.4265199999999996j),(5.068719999999999-3.61964j),(5.210159999999999-3.9127199999999993j),(5.363159999999999-4.22008j),(5.46516-4.40368j),(5.536559999999999-4.45604j),(5.58076-4.41728j),(5.651479999999999-4.435639999999999j),(5.650119999999999-4.3567599999999995j)
9.6,(4.576483866666666-2.7467987999999997j),(4.607-2.7165999999999997j),(4.75864-2.9892799999999995j),(4.955839999999999-3.4156399999999993j),(5.06804-3.6053599999999992j),(5.20132-3.8916399999999998j),(5.3536399999999995-4.199j),(5.46108-4.381239999999999j),(5.53112-4.42408j),(5.58076-4.3982399999999995j),(5.653519999999999-4.41252j),(5.6541999999999994-4.339759999999999j)
9.65,(4.570969390476191-2.7393129714285713j),(4.596799999999999-2.70164j),(4.7450399999999995-2.9716j),(4.93884-3.3938799999999993j),(5.0510399999999995-3.5863199999999997j),(5.18976-3.8651199999999997j),(5.3509199999999995-4.171799999999999j),(5.456319999999999-4.3560799999999995j),(5.523639999999999-4.4098j),(5.57736-4.381919999999999j),(5.64196-4.3995999999999995j),(5.63992-4.32684j)
9.7,(4.5666711428571425-2.7288672j),(4.58796-2.6948399999999997j),(4.739599999999999-2.96412j),(4.93544-3.3816399999999995j),(5.040159999999999-3.5774799999999995j),(5.1781999999999995-3.8664799999999997j),(5.329159999999999-4.172479999999999j),(5.4379599999999995-4.3533599999999995j),(5.50528-4.40708j),(5.55696-4.385319999999999j),(5.626319999999999-4.388719999999999j),(5.62088-4.3139199999999995j)
9.75,(4.560386647619047-2.7169170095238093j),(4.5832-2.68192j),(4.73552-2.9525599999999996j),(4.93-3.3775599999999995j),(5.034039999999999-3.56864j),(5.1809199999999995-3.8515199999999994j),(5.32644-4.15616j),(5.4406799999999995-4.345879999999999j),(5.507999999999999-4.391439999999999j),(5.551519999999999-4.3622j),(5.62224-4.37716j),(5.62428-4.300319999999999j)
9.8,(4.553909809523809-2.709842419047619j),(4.58252-2.6764799999999997j),(4.73552-2.9444j),(4.93204-3.3666799999999992j),(5.034039999999999-3.5536799999999995j),(5.170719999999999-3.8372399999999995j),(5.323719999999999-4.1411999999999995j),(5.427759999999999-4.32004j),(5.49236-4.370359999999999j),(5.540639999999999-4.341799999999999j),(5.6147599999999995-4.3540399999999995j),(5.62088-4.27584j)
9.85,(4.551535314285713-2.697084971428571j),(4.57912-2.66968j),(4.726679999999999-2.9362399999999993j),(4.9177599999999995-3.3503599999999993j),(5.028599999999999-3.5393999999999997j),(5.162559999999999-3.8229599999999997j),(5.31692-4.1242j),(5.419599999999999-4.3098399999999994j),(5.48828-4.3567599999999995j),(5.53724-4.3316j),(5.60932-4.352679999999999j),(5.606599999999999-4.28264j)
9.9,(4.544532933333333-2.685923257142857j),(4.568919999999999-2.65948j),(4.71852-2.92672j),(4.906879999999999-3.3367599999999995j),(5.01228-3.5326j),(5.15304-3.8161599999999996j),(5.303319999999999-4.11604j),(5.41008-4.296919999999999j),(5.47196-4.349279999999999j),(5.518199999999999-4.32956j),(5.586879999999999-4.34112j),(5.58144-4.2676799999999995j)
9.95,(4.539804666666666-2.6778264j),(4.566879999999999-2.6417999999999995j),(4.71716-2.9097199999999996j),(4.909599999999999-3.32928j),(5.01296-3.5176399999999997j),(5.1544-3.7991599999999996j),(5.301279999999999-4.10244j),(5.40328-4.29148j),(5.46516-4.33704j),(5.5114-4.3214j),(5.575999999999999-4.337719999999999j),(5.578039999999999-4.262919999999999j)
10.0,(4.536790971428571-2.6679518285714283j),(4.56348-2.6411199999999995j),(4.71308-2.9076799999999996j),(4.90144-3.3245199999999997j),(5.000039999999999-3.51288j),(5.14012-3.8045999999999993j),(5.287679999999999-4.0969999999999995j),(5.392399999999999-4.28332j),(5.453599999999999-4.33704j),(5.4978-4.3132399999999995j),(5.5725999999999996-4.32412j),(5.5712399999999995-4.252719999999999j)
10.05,(4.530912857142857-2.6565537333333338j),(4.557359999999999-2.6288799999999997j),(4.7042399999999995-2.8893199999999997j),(4.89396-3.3054799999999998j),(4.997319999999999-3.49112j),(5.131959999999999-3.77128j),(5.28088-4.06844j),(5.385599999999999-4.24864j),(5.447479999999999-4.301j),(5.499159999999999-4.28196j),(5.56988-4.301679999999999j),(5.567159999999999-4.23504j)
10.1,(4.526940685714286-2.6486702666666666j),(4.556679999999999-2.6214j),(4.7049199999999995-2.8832j),(4.89056-3.2911999999999995j),(4.997319999999999-3.4809199999999993j),(5.129239999999999-3.757j),(5.27884-4.06232j),(5.376759999999999-4.245919999999999j),(5.4399999999999995-4.2976j),(5.488959999999999-4.27448j),(5.557639999999999-4.29352j),(5.555599999999999-4.2234799999999995j)
10.15,(4.521145142857143-2.6399047428571425j),(4.54716-2.6057599999999996j),(4.695399999999999-2.8682399999999997j),(4.87968-3.2837199999999993j),(4.98032-3.46528j),(5.117-3.74748j),(5.27136-4.048039999999999j),(5.37132-4.2364j),(5.432519999999999-4.284j),(5.4814799999999995-4.27176j),(5.545399999999999-4.28604j),(5.54608-4.218719999999999j)
10.2,(4.517490952380952-2.6312311809523807j),(4.54376-2.6030399999999996j),(4.692-2.86552j),(4.88376-3.2809999999999997j),(4.98304-3.4625599999999994j),(5.115639999999999-3.7488399999999995j),(5.261839999999999-4.043959999999999j),(5.36452-4.2364j),(5.422999999999999-4.27584j),(5.47196-4.2663199999999994j),(5.540639999999999-4.27856j),(5.541319999999999-4.20716j)
10.25,(4.514678342857143-2.620617028571428j),(4.53356-2.5887599999999997j),(4.681799999999999-2.8505599999999998j),(4.869479999999999-3.2653599999999994j),(4.97284-3.4482799999999996j),(5.10204-3.72572j),(5.25096-4.02084j),(5.3556799999999996-4.20376j),(5.41892-4.253399999999999j),(5.470599999999999-4.23368j),(5.54472-4.255439999999999j),(5.54608-4.1854j)
10.3,(4.508774-2.6148108j),(4.53356-2.59284j),(4.67704-2.8485199999999997j),(4.864039999999999-3.2551599999999996j),(4.9639999999999995-3.4394399999999994j),(5.09728-3.7114399999999996j),(5.24348-4.00112j),(5.3414-4.1833599999999995j),(5.40736-4.24252j),(5.45088-4.21804j),(5.522959999999999-4.22892j),(5.52636-4.160919999999999j)
10.35,(4.504987695238095-2.6067139428571426j),(4.5301599999999995-2.5826399999999996j),(4.674319999999999-2.83764j),(4.85792-3.2374799999999997j),(4.959239999999999-3.4244799999999995j),(5.089799999999999-3.70464j),(5.22716-3.9983999999999997j),(5.327119999999999-4.178599999999999j),(5.390359999999999-4.2296j),(5.436599999999999-4.22008j),(5.50256-4.23232j),(5.50256-4.16228j)
10.4,(4.503182780952381-2.5982466476190473j),(4.520639999999999-2.56972j),(4.66684-2.8281199999999997j),(4.8484-3.2347599999999996j),(4.953119999999999-3.4197199999999994j),(5.07892-3.69852j),(5.2223999999999995-3.9915999999999996j),(5.32236-4.177919999999999j),(5.390359999999999-4.23368j),(5.43184-4.215319999999999j),(5.4978-4.23368j),(5.50324-4.166359999999999j)
