Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(9.853379999999998-6.348101999999998j),(9.9092-6.259399999999999j),(10.288599999999999-6.901999999999999j),(10.6932-7.8274j),(11.0026-8.3006j),(11.290999999999999-8.923599999999999j),(11.6844-9.6082j),(11.936399999999999-9.9582j),(12.075-9.997399999999999j),(12.1436-9.892399999999999j),(12.2668-9.8616j),(12.2164-9.6334j)
8.05,(9.837172000000002-6.3256686666666635j),(9.918999999999999-6.237j),(10.2816-6.883799999999999j),(10.738-7.841399999999999j),(11.024999999999999-8.254399999999999j),(11.347-8.905399999999998j),(11.7012-9.5928j),(11.937799999999998-9.9764j),(12.090399999999999-10.0338j),(12.1856-9.937199999999999j),(12.3116-9.911999999999999j),(12.25-9.697799999999999j)
8.1,(9.820964000000005-6.303235333333329j),(9.8546-6.223j),(10.2256-6.8628j),(10.680599999999998-7.821799999999999j),(10.955-8.2586j),(11.2574-8.8858j),(11.640999999999998-9.549399999999999j),(11.8664-9.9092j),(12.019-9.997399999999999j),(12.11-9.8714j),(12.257-9.843399999999999j),(12.209399999999999-9.639j)
8.15,(9.804755999999996-6.280801999999996j),(9.851799999999999-6.2216j),(10.219999999999999-6.8404j),(10.6526-7.7825999999999995j),(10.949399999999999-8.225j),(11.246199999999998-8.8508j),(11.613-9.491999999999999j),(11.846799999999998-9.8448j),(12.0246-9.920399999999999j),(12.0876-9.8154j),(12.233199999999998-9.7846j),(12.2038-9.568999999999999j)
8.2,(9.788547999999999-6.258084j),(9.839199999999998-6.1782j),(10.201799999999999-6.797000000000001j),(10.639999999999999-7.7462j),(10.9214-8.1634j),(11.1944-8.812999999999999j),(11.558399999999999-9.490599999999999j),(11.806199999999999-9.867199999999999j),(11.9616-9.9008j),(12.044199999999998-9.8238j),(12.174399999999999-9.8028j),(12.1408-9.5732j)
8.25,(9.772339999999998-6.236596j),(9.813999999999998-6.150199999999999j),(10.176599999999999-6.762j),(10.6176-7.7126j),(10.892-8.1466j),(11.2028-8.7976j),(11.563999999999998-9.4598j),(11.809-9.832199999999998j),(11.944799999999999-9.911999999999999j),(12.0288-9.8266j),(12.1646-9.8014j),(12.1142-9.589999999999998j)
8.3,(9.760235333333332-6.213034666666666j),(9.787399999999998-6.1292j),(10.159799999999999-6.760599999999999j),(10.612-7.6846j),(10.8878-8.1256j),(11.1944-8.7486j),(11.563999999999998-9.4276j),(11.7992-9.7762j),(11.9728-9.851799999999999j),(12.049799999999998-9.7622j),(12.200999999999999-9.7356j),(12.1674-9.52j)
8.35,(9.746719999999998-6.19116j),(9.8014-6.123599999999999j),(10.159799999999999-6.745199999999999j),(10.5924-7.674799999999999j),(10.8668-8.108799999999999j),(11.1594-8.7066j),(11.5262-9.370199999999999j),(11.746-9.7608j),(11.927999999999999-9.834999999999999j),(12.009199999999998-9.713199999999999j),(12.156199999999998-9.6922j),(12.135199999999998-9.497599999999998j)
8.4,(9.734577999999999-6.169624000000001j),(9.793-6.061999999999999j),(10.141599999999999-6.679399999999999j),(10.5658-7.618799999999999j),(10.8514-8.0598j),(11.1342-8.6912j),(11.510799999999998-9.324j),(11.736199999999998-9.7188j),(11.902800000000001-9.8266j),(11.982599999999998-9.7118j),(12.1142-9.7048j),(12.080599999999999-9.5102j)
8.45,(9.721542-6.1461879999999995j),(9.7622-6.067599999999999j),(10.114999999999998-6.689199999999999j),(10.5476-7.6048j),(10.812199999999999-8.0318j),(11.120199999999999-8.6688j),(11.4898-9.333799999999998j),(11.7236-9.696399999999999j),(11.8608-9.780399999999998j),(11.944799999999999-9.6712j),(12.0792-9.6488j),(12.0288-9.4626j)
