Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(13.442825571428568-8.660624871428569j),(13.518979999999999-8.53961j),(14.03659-9.4163j),(14.588579999999999-10.67881j),(15.010689999999999-11.32439j),(15.404149999999998-12.174339999999999j),(15.940859999999999-13.10833j),(16.28466-13.58583j),(16.47375-13.63931j),(16.567339999999998-13.49606j),(16.73542-13.454039999999999j),(16.66666-13.14271j)
8.05,(13.420713228571431-8.630019395238092j),(13.53235-8.50905j),(14.02704-9.39147j),(14.6497-10.69791j),(15.04125-11.26136j),(15.480550000000001-12.14951j),(15.96378-13.08732j),(16.286569999999998-13.61066j),(16.49476-13.68897j),(16.62464-13.557179999999999j),(16.79654-13.5228j),(16.7125-13.230569999999998j)
8.1,(13.398600885714293-8.599413919047613j),(13.444489999999998-8.48995j),(13.95064-9.36282j),(14.57139-10.671169999999998j),(14.94575-11.26709j),(15.35831-12.122770000000001j),(15.881649999999999-13.028109999999998j),(16.18916-13.518979999999999j),(16.39735-13.63931j),(16.5215-13.46741j),(16.72205-13.42921j),(16.65711-13.15035j)
8.15,(13.376488542857137-8.568808442857138j),(13.440669999999999-8.48804j),(13.943-9.33226j),(14.53319-10.61769j),(14.938109999999998-11.22125j),(15.343029999999999-12.07502j),(15.843449999999999-12.9498j),(16.162419999999997-13.43112j),(16.40499-13.53426j),(16.49094-13.39101j),(16.68958-13.348989999999999j),(16.64947-13.05485j)
8.2,(13.354376199999999-8.537814599999999j),(13.423479999999998-8.42883j),(13.91817-9.27305j),(14.515999999999998-10.56803j),(14.89991-11.13721j),(15.27236-12.023449999999999j),(15.76896-12.94789j),(16.107029999999998-13.46168j),(16.31904-13.50752j),(16.431729999999998-13.40247j),(16.60936-13.373819999999998j),(16.56352-13.06058j)
8.25,(13.332263857142856-8.508498828571428j),(13.3891-8.39063j),(13.88379-9.225299999999999j),(14.485439999999999-10.52219j),(14.8598-11.114289999999999j),(15.28382-12.00244j),(15.776599999999998-12.905869999999998j),(16.11085-13.413929999999999j),(16.29612-13.5228j),(16.41072-13.40629j),(16.59599-13.37191j),(16.52723-13.083499999999999j)
8.3,(13.315749633333333-8.476354438095237j),(13.352809999999998-8.361979999999999j),(13.860869999999998-9.223389999999998j),(14.4778-10.483989999999999j),(14.85407-11.08564j),(15.27236-11.93559j),(15.776599999999998-12.861939999999999j),(16.09748-13.33753j),(16.334319999999998-13.440669999999999j),(16.439369999999997-13.31843j),(16.64565-13.282139999999998j),(16.59981-12.988j)
8.35,(13.297310857142856-8.446511142857142j),(13.37191-8.354339999999999j),(13.860869999999998-9.202379999999998j),(14.451059999999998-10.47062j),(14.82542-11.062719999999999j),(15.22461-11.87829j),(15.72503-12.783629999999999j),(16.0249-13.31652j),(16.2732-13.41775j),(16.383979999999998-13.251579999999999j),(16.584529999999997-13.22293j),(16.55588-12.957439999999998j)
8.4,(13.280745699999999-8.417129885714287j),(13.36045-8.2703j),(13.836039999999999-9.11261j),(14.414769999999999-10.39422j),(14.80441-10.995869999999998j),(15.19023-11.85728j),(15.704019999999998-12.7206j),(16.011529999999997-13.25922j),(16.23882-13.40629j),(16.347689999999997-13.24967j),(16.52723-13.240120000000001j),(16.481389999999998-12.97463j)
8.45,(13.262960871428572-8.385156485714285j),(13.31843-8.27794j),(13.79975-9.125979999999998j),(14.38994-10.37512j),(14.750929999999999-10.95767j),(15.171129999999998-11.82672j),(15.675370000000001-12.73397j),(15.994340000000001-13.22866j),(16.18152-13.343259999999999j),(16.29612-13.194280000000001j),(16.47948-13.16372j),(16.41072-12.90969j)
