Frequency,0,1,2,3,4,5,6,7,8,9,10,11
8.0,(14.07625714285714-9.06871714285714j),(14.156-8.942j),(14.698-9.86j),(15.276-11.182j),(15.718-11.858j),(16.13-12.748j),(16.692-13.726j),(17.052-14.226j),(17.25-14.282j),(17.348-14.132j),(17.524-14.088j),(17.452-13.762j)
8.05,(14.05310285714286-9.03666952380952j),(14.17-8.91j),(14.688-9.834j),(15.34-11.202j),(15.75-11.792j),(16.21-12.722j),(16.716-13.704j),(17.054-14.252j),(17.272-14.334j),(17.408-14.196j),(17.588-14.16j),(17.5-13.854j)
8.1,(14.02994857142858-9.0046219047619j),(14.078-8.89j),(14.608-9.804j),(15.258-11.174j),(15.65-11.798j),(16.082-12.694j),(16.63-13.642j),(16.952-14.156j),(17.17-14.282j),(17.3-14.102j),(17.51-14.062j),(17.442-13.77j)
8.15,(14.00679428571428-8.97257428571428j),(14.074-8.888j),(14.6-9.772j),(15.218-11.118j),(15.642-11.75j),(16.066-12.644j),(16.59-13.56j),(16.924-14.064j),(17.178-14.172j),(17.268-14.022j),(17.476-13.978j),(17.434-13.67j)
8.2,(13.98364-8.94012j),(14.056-8.826j),(14.574-9.71j),(15.2-11.066j),(15.602-11.662j),(15.992-12.59j),(16.512-13.558j),(16.866-14.096j),(17.088-14.144j),(17.206-14.034j),(17.392-14.004j),(17.344-13.676j)
8.25,(13.960485714285713-8.909422857142857j),(14.02-8.786j),(14.538-9.66j),(15.168-11.018j),(15.56-11.638j),(16.004-12.568j),(16.52-13.514j),(16.87-14.046j),(17.064-14.16j),(17.184-14.038j),(17.378-14.002j),(17.306-13.7j)
8.3,(13.943193333333333-8.875763809523809j),(13.982-8.756j),(14.514-9.658j),(15.16-10.978j),(15.554-11.608j),(15.992-12.498j),(16.52-13.468j),(16.856-13.966j),(17.104-14.074j),(17.214-13.946j),(17.43-13.908j),(17.382-13.6j)
8.35,(13.923885714285714-8.844514285714286j),(14.002-8.748j),(14.514-9.636j),(15.132-10.964j),(15.524-11.584j),(15.942-12.438j),(16.466-13.386j),(16.78-13.944j),(17.04-14.05j),(17.156-13.876j),(17.366-13.846j),(17.336-13.568j)
8.4,(13.90654-8.813748571428572j),(13.99-8.66j),(14.488-9.542j),(15.094-10.884j),(15.502-11.514j),(15.906-12.416j),(16.444-13.32j),(16.766-13.884j),(17.004-14.038j),(17.118-13.874j),(17.306-13.864j),(17.258-13.586j)
8.45,(13.887917142857143-8.780268571428572j),(13.946-8.668j),(14.45-9.556j),(15.068-10.864j),(15.446-11.474j),(15.886-12.384j),(16.414-13.334j),(16.748-13.852j),(16.944-13.972j),(17.064-13.816j),(17.256-13.784j),(17.184-13.518j)
