Material Code,Real,Imaginary
0,3.5562380165877197,-2.091317801270187
1,3.6273627769194743,-2.1331441572955914
2,3.698487537251228,-2.1749705133209924
3,3.7696122975829818,-2.216796869346399
4,3.8407370579147377,-2.258623225371802
5,3.911861818246491,-2.3004495813972063
6,3.9829865785782474,-2.3422759374226088
7,4.0541113389099985,-2.384102293448014
8,4.125236099241754,-2.425928649473418
9,4.1963608595735105,-2.4677550054988227
10,4.267485619905264,-2.509581361524225
11,4.338610380237019,-2.5514077175496284
12,4.409735140568774,-2.5932340735750317
13,4.480859900900525,-2.6350604296004367
14,4.551984661232278,-2.6768867856258396
15,4.6231094215640365,-2.718713141651243
16,4.6942341818957924,-2.7605394976766466
17,4.765358942227543,-2.8023658537020526
18,4.836483702559297,-2.844192209727454
19,4.907608462891052,-2.886018565752858
20,4.9787332232228065,-2.9278449217782603
21,5.049857983554562,-2.969671277803668
22,5.12098274388632,-3.0114976338290713
23,5.192107504218072,-3.053323989854473
24,5.263232264549823,-3.0951503458798757
25,5.334357024881581,-3.136976701905279
26,5.405481785213336,-3.178803057930686
27,5.476606545545086,-3.2206294139560883
28,5.547731305876841,-3.2624557699814924
29,5.618856066208596,-3.3042821260068957
30,5.689980826540355,-3.3461084820323013
31,5.761105586872104,-3.3879348380577037
32,5.832230347203863,-3.429761194083107
33,5.903355107535616,-3.471587550108511
34,5.974479867867364,-3.5134139061339167
35,6.045604628199123,-3.5552402621593213
36,6.116729388530875,-3.597066618184721
37,6.187854148862631,-3.6388929742101257
38,6.258978909194388,-3.68071933023553
39,6.330103669526141,-3.722545686260933
40,6.4012284298578965,-3.7643720422863365
41,6.47235319018965,-3.806198398311741
42,6.543477950521403,-3.848024754337145
43,6.614602710853155,-3.889851110362549
44,6.6857274711849115,-3.931677466387953
45,6.756852231516667,-3.9735038224133565
46,6.827976991848422,-4.01533017843876
47,6.899101752180175,-4.057156534464159
48,6.97022651251193,-4.098982890489565
49,7.041351272843684,-4.140809246514973
50,7.112476033175439,-4.182635602540375
51,7.183600793507193,-4.22446195856578
52,7.2547255538389495,-4.266288314591182
53,7.325850314170702,-4.3081146706165825
54,7.396975074502456,-4.349941026641986
55,7.468099834834213,-4.391767382667394
56,7.5392245951659635,-4.433593738692798
57,7.61034935549772,-4.475420094718204
58,7.6814741158294755,-4.517246450743604
59,7.752598876161229,-4.559072806769008
60,7.823723636492982,-4.600899162794413
61,7.894848396824737,-4.642725518819815
62,7.965973157156494,-4.6845518748452175
63,8.037097917488246,-4.726378230870619
64,8.108222677819999,-4.768204586896028
65,8.179347438151762,-4.810030942921428
66,8.250472198483507,-4.851857298946836
67,8.321596958815265,-4.893683654972238
68,8.392721719147023,-4.935510010997646
69,8.463846479478772,-4.977336367023049
70,8.53497123981053,-5.019162723048451
71,8.606096000142283,-5.060989079073853
72,8.677220760474038,-5.102815435099257
73,8.748345520805785,-5.14464179112466
74,8.819470281137548,-5.186468147150063
75,8.8905950414693,-5.2282945031754675
76,8.96171980180105,-5.270120859200874
77,9.032844562132814,-5.311947215226275
78,9.103969322464556,-5.353773571251679
79,9.175094082796322,-5.395599927277082
80,9.246218843128073,-5.437426283302486
81,9.317343603459824,-5.479252639327893
82,9.388468363791585,-5.521078995353293
83,9.459593124123327,-5.562905351378698
84,9.530717884455086,-5.604731707404103
85,9.601842644786847,-5.646558063429506
86,9.672967405118595,-5.688384419454908
87,9.744092165450356,-5.730210775480315
88,9.815216925782105,-5.772037131505716
89,9.886341686113857,-5.813863487531119
90,9.957466446445613,-5.855689843556521
91,10.02859120677737,-5.897516199581926
92,10.099715967109123,-5.939342555607337
93,10.170840727440883,-5.981168911632737
94,10.241965487772639,-6.02299526765814
95,10.313090248104386,-6.064821623683543
96,10.384215008436144,-6.106647979708946
97,10.455339768767896,-6.148474335734351
98,10.526464529099647,-6.190300691759751
99,10.597589289431404,-6.232127047785159
100,10.668714049763162,-6.273953403810558
