Material Code,Real,Imaginary
0,3.563354048858911,-2.0955025281905284
1,3.634621129836089,-2.137412578754339
2,3.705888210813267,-2.1793226293181474
3,3.7771552917904443,-2.2212326798819606
4,3.848422372767624,-2.2631427304457707
5,3.9196894537448013,-2.3050527810095818
6,3.9909565347219815,-2.346962831573391
7,4.062223615699157,-2.3888728821372025
8,4.133490696676335,-2.4307829327010135
9,4.204757777653516,-2.472692983264825
10,4.276024858630693,-2.5146030338286347
11,4.347291939607873,-2.556513084392445
12,4.41855902058505,-2.598423134956255
13,4.489826101562226,-2.6403331855200665
14,4.561093182539403,-2.682243236083876
15,4.632360263516586,-2.7241532866476863
16,4.703627344493764,-2.766063337211497
17,4.774894425470939,-2.8079733877753097
18,4.846161506448118,-2.8498834383391185
19,4.917428587425297,-2.8917934889029286
20,4.988695668402474,-2.933703539466738
21,5.059962749379653,-2.9756135900305525
22,5.131229830356836,-3.0175236405943626
23,5.202496911334011,-3.059433691158171
24,5.273763992311186,-3.1013437417219807
25,5.345031073288368,-3.1432537922857904
26,5.416298154265547,-3.1851638428496045
27,5.48756523524272,-3.2270738934134138
28,5.558832316219899,-3.268983943977225
29,5.630099397197078,-3.310893994541035
30,5.70136647817426,-3.3528040451048473
31,5.772633559151434,-3.394714095668656
32,5.843900640128616,-3.4366241462324663
33,5.915167721105794,-3.4785341967962777
34,5.986434802082965,-3.52044424736009
35,6.057701883060148,-3.5623542979239016
36,6.128968964037324,-3.604264348487708
37,6.2002360450145035,-3.646174399051519
38,6.271503125991685,-3.68808444961533
39,6.342770206968861,-3.7299945001791404
40,6.414037287946041,-3.7719045507429505
41,6.4853043689232175,-3.8138146013067624
42,6.556571449900395,-3.855724651870573
43,6.627838530877571,-3.8976347024343836
44,6.69910561185475,-3.939544752998194
45,6.77037269283193,-3.9814548035620048
46,6.841639773809109,-4.023364854125815
47,6.912906854786287,-4.0652749046896215
48,6.984173935763464,-4.107184955253434
49,7.055441016740643,-4.149095005817249
50,7.126708097717822,-4.191005056381058
51,7.197975178694999,-4.23291510694487
52,7.269242259672179,-4.274825157508677
53,7.340509340649356,-4.316735208072485
54,7.411776421626534,-4.358645258636296
55,7.4830435026037145,-4.400555309200111
56,7.554310583580889,-4.442465359763921
57,7.62557766455807,-4.484375410327734
58,7.696844745535248,-4.5262854608915415
59,7.768111826512426,-4.568195511455351
60,7.8393789074896025,-4.6101055620191635
61,7.910645988466782,-4.652015612582973
62,7.981913069443962,-4.693925663146782
63,8.053180150421138,-4.73583571371059
64,8.124447231398316,-4.777745764274405
65,8.195714312375502,-4.819655814838213
66,8.26698139335267,-4.861565865402027
67,8.338248474329852,-4.903475915965836
68,8.409515555307033,-4.945385966529651
69,8.480782636284207,-4.987296017093461
70,8.552049717261388,-5.02920606765727
71,8.623316798238566,-5.071116118221079
72,8.694583879215745,-5.11302616878489
73,8.765850960192916,-5.154936219348699
74,8.8371180411701,-5.19684626991251
75,8.908385122147278,-5.23875632047632
76,8.979652203124452,-5.280666371040134
77,9.05091928410164,-5.322576421603942
78,9.122186365078806,-5.364486472167752
79,9.193453446055996,-5.406396522731562
80,9.264720527033171,-5.448306573295373
81,9.335987608010344,-5.490216623859187
82,9.407254688987528,-5.532126674422994
83,9.478521769964695,-5.574036724986806
84,9.549788850941878,-5.615946775550618
85,9.621055931919065,-5.657856826114427
86,9.692323012896235,-5.699766876678237
87,9.76359009387342,-5.741676927242049
88,9.834857174850594,-5.783586977805857
89,9.906124255827768,-5.825497028369667
90,9.977391336804947,-5.867407078933476
91,10.04865841778213,-5.909317129497287
92,10.119925498759306,-5.951227180061106
93,10.19119257973649,-5.993137230624913
94,10.26245966071367,-6.035047281188723
95,10.33372674169084,-6.076957331752533
96,10.404993822668022,-6.118867382316342
97,10.476260903645198,-6.160777432880154
98,10.547527984622372,-6.202687483443961
99,10.618795065599555,-6.2445975340077755
100,10.690062146576736,-6.286507584571581
