Material Code,Real,Imaginary
0,3.399831033036581,-1.999339506392915
1,3.467827653697312,-2.039326296520774
2,3.5358242743580433,-2.079313086648632
3,3.6038208950187745,-2.1192998767764903
4,3.6718175156795074,-2.159286666904349
5,3.7398141363402386,-2.1992734570322066
6,3.8078107570009707,-2.2392602471600647
7,3.875807377661701,-2.2792470372879237
8,3.9438039983224327,-2.3192338274157804
9,4.011800618983164,-2.3592206175436403
10,4.079797239643898,-2.3992074076714975
11,4.147793860304628,-2.4391941977993574
12,4.215790480965361,-2.479180987927214
13,4.283787101626092,-2.5191677780550736
14,4.3517837222868225,-2.5591545681829313
15,4.419780342947553,-2.59914135831079
16,4.487776963608287,-2.6391281484386475
17,4.555773584269017,-2.679114938566507
18,4.623770204929746,-2.7191017286943633
19,4.69176682559048,-2.759088518822222
20,4.759763446251214,-2.7990753089500804
21,4.827760066911944,-2.839062099077939
22,4.8957566875726775,-2.8790488892057984
23,4.963753308233407,-2.919035679333655
24,5.031749928894137,-2.959022469461514
25,5.099746549554871,-2.9990092595893727
26,5.167743170215601,-3.0389960497172317
27,5.235739790876333,-3.0789828398450885
28,5.3037364115370655,-3.118969629972948
29,5.371733032197795,-3.158956420100807
30,5.439729652858529,-3.1989432102286646
31,5.507726273519262,-3.238930000356522
32,5.575722894179991,-3.2789167904843817
33,5.643719514840725,-3.3189035806122384
34,5.711716135501453,-3.3588903707400983
35,5.779712756162186,-3.398877160867956
36,5.847709376822919,-3.4388639509958145
37,5.91570599748365,-3.4788507411236727
38,5.983702618144382,-3.5188375312515303
39,6.051699238805112,-3.5588243213793884
40,6.119695859465845,-3.5988111115072474
41,6.187692480126576,-3.638797901635106
42,6.255689100787307,-3.678784691762963
43,6.323685721448038,-3.7187714818908217
44,6.391682342108773,-3.7587582720186803
45,6.459678962769502,-3.7987450621465384
46,6.527675583430233,-3.8387318522743974
47,6.595672204090964,-3.878718642402253
48,6.663668824751697,-3.918705432530113
49,6.731665445412427,-3.9586922226579717
50,6.799662066073162,-3.9986790127858307
51,6.8676586867338925,-4.038665802913689
52,6.935655307394625,-4.078652593041547
53,7.003651928055355,-4.118639383169404
54,7.0716485487160865,-4.1586261732972645
55,7.139645169376818,-4.1986129634251235
56,7.207641790037549,-4.238599753552981
57,7.275638410698281,-4.278586543680839
58,7.343635031359015,-4.318573333808698
59,7.411631652019745,-4.358560123936555
60,7.479628272680477,-4.398546914064413
61,7.547624893341209,-4.438533704192272
62,7.6156215140019405,-4.478520494320129
63,7.683618134662672,-4.518507284447986
64,7.751614755323403,-4.558494074575847
65,7.819611375984134,-4.598480864703705
66,7.887607996644865,-4.638467654831561
67,7.955604617305598,-4.67845444495942
68,8.02360123796633,-4.7184412350872815
69,8.09159785862706,-4.758428025215139
70,8.159594479287797,-4.798414815342996
71,8.227591099948523,-4.838401605470854
72,8.295587720609255,-4.878388395598715
73,8.36358434126999,-4.918375185726572
74,8.431580961930722,-4.958361975854428
75,8.499577582591453,-4.9983487659822865
76,8.567574203252184,-5.038335556110148
77,8.635570823912916,-5.078322346238004
78,8.703567444573645,-5.118309136365863
79,8.77156406523438,-5.158295926493721
80,8.839560685895107,-5.19828271662158
81,8.90755730655584,-5.238269506749438
82,8.975553927216573,-5.278256296877295
83,9.043550547877306,-5.318243087005155
84,9.111547168538033,-5.358229877133012
85,9.17954378919877,-5.398216667260872
86,9.247540409859493,-5.438203457388727
87,9.315537030520234,-5.478190247516588
88,9.38353365118096,-5.518177037644444
89,9.45153027184169,-5.558163827772304
90,9.519526892502428,-5.598150617900161
91,9.58752351316316,-5.6381374080280215
92,9.655520133823888,-5.678124198155879
93,9.723516754484624,-5.718110988283738
94,9.791513375145353,-5.758097778411595
95,9.859509995806082,-5.798084568539454
96,9.927506616466815,-5.83807135866731
97,9.995503237127547,-5.878058148795171
98,10.063499857788274,-5.918044938923028
99,10.131496478449005,-5.958031729050888
100,10.199493099109741,-5.998018519178745
